#Subject	Angle	Frequency	Speed	Average_cursor_speed
05	0	13	1.46	275.419973307
05	0	1	1.46	279.82838424
05	0	20	1.46	326.54387066
05	0	2	1.46	354.405039188
05	0	30	1.46	307.655608094
05	0	4	1.46	467.381521918
05	0	8	1.46	282.42654449
05	120	13	1.46	177.450613504
05	120	1	1.46	227.525327429
05	120	20	1.46	403.203458358
05	120	2	1.46	226.602182358
05	120	30	1.46	241.650796733
05	120	4	1.46	200.293385199
05	120	8	1.46	151.953101948
05	180	13	1.46	352.931449588
05	180	1	1.46	314.8040743
05	180	20	1.46	301.789404439
05	180	2	1.46	243.299763562
05	180	30	1.46	293.517087298
05	180	4	1.46	235.442273009
05	180	8	1.46	264.893994548
05	30	13	1.46	302.618919194
05	30	1	1.46	210.079882098
05	30	20	1.46	265.483042545
05	30	2	1.46	289.521486707
05	30	30	1.46	233.351184006
05	30	4	1.46	302.547999056
05	30	8	1.46	279.627581413
05	60	13	1.46	207.551351507
05	60	1	1.46	306.164910549
05	60	20	1.46	175.85574705
05	60	2	1.46	387.855038647
05	60	30	1.46	179.916936597
05	60	4	1.46	375.952554705
05	60	8	1.46	296.658039064
05	90	13	1.46	169.690954022
05	90	1	1.46	245.848667974
05	90	20	1.46	150.647771023
05	90	2	1.46	201.74683344
05	90	30	1.46	260.585949311
05	90	4	1.46	238.459428745
05	90	8	1.46	228.338844996
06	0	13	1.46	314.339459074
06	0	1	1.46	364.391038998
06	0	20	1.46	339.911265266
06	0	2	1.46	285.401962602
06	0	30	1.46	305.703222926
06	0	4	1.46	341.455980481
06	0	8	1.46	294.21541027
06	120	13	1.46	187.73185588
06	120	1	1.46	363.974603518
06	120	20	1.46	331.620883944
06	120	2	1.46	196.030021445
06	120	30	1.46	260.077032667
06	120	4	1.46	141.324156831
06	120	8	1.46	268.934116654
06	180	13	1.46	271.112297206
06	180	1	1.46	304.54247051
06	180	20	1.46	317.081355752
06	180	2	1.46	211.847867619
06	180	30	1.46	255.245157803
06	180	4	1.46	306.326782736
06	180	8	1.46	220.992448556
06	30	13	1.46	207.974191312
06	30	1	1.46	382.157681857
06	30	20	1.46	310.629784713
06	30	2	1.46	348.092491924
06	30	30	1.46	270.852423333
06	30	4	1.46	216.682205323
06	30	8	1.46	309.524707117
06	60	13	1.46	170.44490264
06	60	1	1.46	299.723420794
06	60	20	1.46	201.719146582
06	60	2	1.46	293.685610995
06	60	30	1.46	278.963994113
06	60	4	1.46	232.67495225
06	60	8	1.46	238.134878721
06	90	13	1.46	220.5046174
06	90	1	1.46	301.168953253
06	90	20	1.46	262.214032523
06	90	2	1.46	214.354783188
06	90	30	1.46	303.955527276
06	90	4	1.46	262.637723076
06	90	8	1.46	196.401773686
07	0	13	1.46	366.413910987
07	0	1	1.46	262.095095217
07	0	20	1.46	202.620708981
07	0	2	1.46	426.487200239
07	0	30	1.46	242.840632868
07	0	4	1.46	320.891761507
07	0	8	1.46	256.245724811
07	120	13	1.46	118.803087435
07	120	1	1.46	287.018094161
07	120	20	1.46	324.134926054
07	120	2	1.46	139.095529618
07	120	30	1.46	140.283392116
07	120	4	1.46	139.901880632
07	120	8	1.46	118.136157328
07	180	13	1.46	268.057529563
07	180	1	1.46	165.586817465
07	180	20	1.46	282.846424255
07	180	2	1.46	132.881453883
07	180	30	1.46	186.002767631
07	180	4	1.46	172.738609384
07	180	8	1.46	153.554708445
07	30	13	1.46	313.737349752
07	30	1	1.46	286.301513931
07	30	20	1.46	274.527900684
07	30	2	1.46	286.309417705
07	30	30	1.46	216.354198403
07	30	4	1.46	222.848864389
07	30	8	1.46	297.673904455
07	60	13	1.46	173.201990983
07	60	1	1.46	217.559979162
07	60	20	1.46	96.5680752206
07	60	2	1.46	311.239383068
07	60	30	1.46	140.242208926
07	60	4	1.46	241.276867213
07	60	8	1.46	238.437502279
07	90	13	1.46	189.19519675
07	90	1	1.46	235.740275892
07	90	20	1.46	120.652418257
07	90	2	1.46	273.031073313
07	90	30	1.46	188.446751807
07	90	4	1.46	153.077348679
07	90	8	1.46	112.606679123
08	0	13	1.46	274.843055151
08	0	1	1.46	273.361235097
08	0	20	1.46	286.232930539
08	0	2	1.46	289.819528953
08	0	30	1.46	301.877304627
08	0	4	1.46	261.266679728
08	0	8	1.46	322.187010381
08	120	13	1.46	149.192823159
08	120	1	1.46	193.856720171
08	120	20	1.46	328.072616446
