#Subject	Block	Average_cursor_speed
05	0	395.349904591
05	1	410.357192767
05	2	437.890747726
05	3	422.804494532
05	4	378.260170728
06	0	175.404989974
06	1	454.500691597
06	2	436.82727212
06	3	206.834342075
06	4	361.521664019
07	0	161.791996238
07	1	373.612247887
07	2	334.176525692
07	3	263.863564681
07	4	330.95964473
08	0	101.71324103
08	1	442.7964843
08	2	173.001818237
08	3	299.220780655
08	4	221.475942061
09	0	152.668040578
09	1	377.495668212
09	2	273.796716041
09	3	346.838932844
09	4	261.628989475
10	0	65.1032266422
10	1	154.706123894
10	2	279.389899025
10	3	252.033392649
10	4	221.492615704
11	0	130.575699532
11	1	339.446348022
11	2	295.342667626
11	3	180.951304377
11	4	394.043528331
12	0	113.52463552
12	1	219.828062135
12	2	302.390372776
12	3	324.495038431
12	4	319.624976718
13	0	215.336052132
13	1	388.59766449
13	2	283.617189906
13	3	295.738241916
13	4	353.031309054
