x	y
0.3535533906	9.9979731306
0.5	9.9979441096
0.7071067812	9.997896157
0.7071067812	9.9978749407
1	9.997780566
1	9.9977588907
1.2247448714	9.9976603783
1.4142135624	9.9975407811
1.4142135624	9.9975199294
1.4142135624	9.9975177632
1.5811388301	9.9973989145
1.7320508076	9.9972495691
2	9.997075222
2	9.9970653382
2	9.9970071052
2.2360679775	9.9968735327
2.4494897428	9.9965729325
2.4494897428	9.9965735888
2.8284271247	9.9963045626
2.8284271247	9.9961509644
2.8284271247	9.996102247
2.8284271247	9.9962285165
3.1622776602	9.9956701877
3.1622776602	9.9956411184
3.4641016151	9.9950417481
3.4641016151	9.9952492462
3.7416573868	9.9946102874
4	9.9942744597
4	9.9943302815
4	9.9939916438
4	9.9943702025
4.472135955	9.9931768043
4.472135955	9.9932582478
4.8989794856	9.9924335386
4.8989794856	9.9919089218
4.8989794856	9.9927108557
5.2915026221	9.9914500289
5.6568542495	9.9913424021
5.6568542495	9.9900219326
5.6568542495	9.9907046142
5.6568542495	9.9898771885
5.6568542495	9.9904639461
6.3245553203	9.9879377579
6.3245553203	9.9879743157
6.3245553203	9.9897649623
6.9282032303	9.9851938132
6.9282032303	9.9868618753
6.9282032303	9.9877988638
7.4833147735	9.9849382687
7.4833147735	9.9859169334
8	9.9830432438
8	9.9830101258
8	9.9826662298
8	9.9827933477
8	9.982817833
8.94427191	9.9792529317
8.94427191	9.9802033408
8.94427191	9.9823864194
9.7979589711	9.9747179652
9.7979589711	9.9749611618
9.7979589711	9.9760116806
9.7979589711	9.9776693712
10.5830052443	9.9714823251
11.313708499	9.9686710997
11.313708499	9.9677408886
11.313708499	9.9661118054
11.313708499	9.9679970902
11.313708499	9.9680414586
11.313708499	9.9664268208
12.6491106407	9.9591613419
12.6491106407	9.9609296247
12.6491106407	9.9626980052
13.8564064606	9.9521806585
13.8564064606	9.9526334571
13.8564064606	9.9558756549
14.9666295471	9.9446790369
14.9666295471	9.9498590399
16	9.9445549856
16	9.9330806462
16	9.9367293948
16	9.9413555985
16	9.9401807259
16.9705627485	9.9346889776
17.88854382	9.9196265421
17.88854382	9.9253827006
17.88854382	9.9370654524
19.5959179423	9.9100270227
19.5959179423	9.9041481786
19.5959179423	9.913014108
19.5959179423	9.919521431
21.1660104885	9.8947578693
22.627416998	9.8918094719
22.627416998	9.8713650885
22.627416998	9.8733293734
22.627416998	9.8798409365
22.627416998	9.8777822652
22.627416998	9.8715468945
24	9.8707318867
25.2982212813	9.8382348743
25.2982212813	9.841944607
25.2982212813	9.8685173357
27.7128129211	9.8196631997
27.7128129211	9.8234759383
27.7128129211	9.8308509026
28.2842712475	9.824205574
29.9332590942	9.7912290073
29.9332590942	9.7981835254
32	9.7689532343
32	9.7678748253
32	9.7545795668
32	9.758628004
32	9.7655441336
33.941125497	9.7415241942
33.941125497	9.7222751527
35.77708764	9.7071517554
35.77708764	9.7131108475
35.77708764	9.7596412415
39.1918358845	9.636118575
39.1918358845	9.6217432379
39.1918358845	9.6325205631
39.1918358845	9.6792384173
39.5979797464	9.6866221408
40	9.6450847668
42.332020977	9.5850964021
45.2548339959	9.5794257293
45.2548339959	9.5220969239
45.2548339959	9.5387735428
45.2548339959	9.5203534668
45.2548339959	9.5485919631
45.2548339959	9.5483055814
48	9.499226795
48	9.4408029209
50.5964425627	9.4072535945
50.5964425627	9.4027464987
50.5964425627	9.4676509042
50.9116882454	9.4323128908
55.4256258422	9.3174138587
55.4256258422	9.3008138587
55.4256258422	9.3999171698
56	9.3143904143
56.5685424949	9.3465622319
56.5685424949	9.271269093
58.7877538268	9.2476393817
59.8665181884	9.2211094876
59.8665181884	9.2274917118
64	9.132537622
64	9.107278809
64	9.0319794364
64	9.1088696748
64	9.0975565848
67.8822509939	9.0844153404
67.8822509939	8.9932419602
67.8822509939	8.98866032
71.55417528	8.8683766313
