Angle	Frequency	m	p

0.5	0.5	9.9979738033	-1.66367923191e-06
1	0.5	9.99789167798	-1.0625723801e-06
2	0.5	9.99754975764	1.02071982723e-05
4	0.5	9.99619309743	6.7532245004e-05
8	0.5	9.99131001553	-0.000255281394804
16	0.5	9.97051356358	0.000144792042518
24	0.5	9.9364253868	-0.000609940250073
32	0.5	9.89024974223	-0.00531103919424
40	0.5	9.82848811052	-0.0014419918875
48	0.5	9.75024292181	0.00591629026876
56	0.5	9.64301302106	0.0331730503079
64	0.5	9.561034495	-0.00170045623964
72	0.5	9.44851245497	0.00416912846374
80	0.5	9.33559988922	-0.00930628568983
96	0.5	9.07837173324	0.0111500472521
112	0.5	8.84087183396	-0.0483136485861
128	0.5	8.42472702021	0.105818719215
144	0.5	8.10394968065	0.0203433893598
160	0.5	7.89407032096	-0.064480306293
180	0.5	7.44113150324	0.0218062715796

0.5	1	9.99794124681	1.80328390385e-06
1	1	9.99778576213	-1.30618221284e-05
2	1	9.99708776939	-9.85770371407e-06
4	1	9.99450498012	-0.000146883663399
8	1	9.98370326236	5.00699297907e-05
16	1	9.94126221435	-0.00227034830243
24	1	9.86683273588	0.0023093197107
32	1	9.76486248534	0.0113989174261
40	1	9.63813434364	0.0112533682772
48	1	9.49210304648	-0.00583664326747
56	1	9.32679945108	-0.00546192246259
64	1	9.12940030377	0.0197991599454
72	1	8.95254637317	-0.0536876817486
80	1	8.66692671298	0.0326133734243
96	1	8.25233592883	-0.0571085468014
112	1	7.71355156192	0.0145192375508
128	1	7.25281936888	0.0341301298977
144	1	6.82531718915	-0.0346196406691
160	1	6.37383944282	0.122969799996
180	1	6.06948636937	-0.0134672559708

0.5	2	9.9978761485	4.70366180033e-06
1	2	9.99751621886	7.38971594097e-06
2	2	9.99602493245	5.59720825596e-05
4	2	9.99043286983	-0.000119869024757
8	2	9.96797827534	-0.000834326879252
16	2	9.87653025584	0.00181584499577
24	2	9.71903907559	0.0074907473939
32	2	9.532756533	-0.0025173552672
40	2	9.27433498941	-0.017596898251
48	2	8.96192790753	0.0336784140423
56	2	8.69301430299	0.0117332460637
64	2	8.31953583255	4.94468825169e-05
72	2	8.01189661155	-0.00575388636127
80	2	7.64662666669	-0.00452682753901
96	2	7.02094128548	-0.011118952817
112	2	6.38472854723	0.03105331106
128	2	5.86363432522	0.0203504051492
144	2	5.36924635229	0.0566716509984
160	2	4.98936768754	0.0378029441683
180	2	4.63858066172	-0.0469434110999

0.5	4	9.99776733201	-1.54463630793e-05
1	4	9.99704637836	2.14993695264e-05
2	4	9.99411412062	-0.000117795873593
4	4	9.98253085242	0.000130818770365
8	4	9.93628061312	-0.00103243793412
16	4	9.77220845026	-0.0216299517031
24	4	9.45801987675	0.00412674569942
32	4	9.11907253165	-0.0658660104075
40	4	8.67319502923	-0.0206335305504
48	4	8.18218906668	-0.0440200383098
56	4	7.67515040202	0.036633814993
64	4	7.26572186551	-0.0390019400517
72	4	6.73404253454	0.0765549051836
80	4	6.38998081136	-0.0498815257416
96	4	5.63073782428	0.0785420092443
112	4	5.10354744924	0.00875728590511
128	4	4.58068535779	-0.00660881301039
144	4	4.16687286243	0.00336858479759
160	4	3.77231913629	0.0038048410578
180	4	3.49758812196	-0.051844363303

0.5	6	9.99764510655	-9.20907774665e-06
1	6	9.99646968547	7.91521427056e-05
2	6	9.99195132791	0.000209463829119
4	6	9.97436469285	0.00013594582791
8	6	9.90262212268	0.00128181823512
16	6	9.62816314312	0.0129824293156
24	6	9.22851302154	-0.03212808603
32	6	8.66282493974	0.00752960154283
40	6	8.11977176664	0.00196070582924
48	6	7.48932084362	0.0686627237894
56	6	6.99870481887	0.0110922239927
64	6	6.55996583605	-0.0789782096093
72	6	5.93495768468	0.0644797453834
80	6	5.60497107727	0.00371932867567
96	6	4.91259128438	0.0318786924328
112	6	4.36487517312	0.000511300058581
128	6	3.88315984128	0.004442411082
144	6	3.457246048	0.0768361572427
160	6	3.20279347734	-0.0203238202814
180	6	2.90760442724	-0.0272349593057

0.5	8	9.99751972855	8.04860862256e-06
1	8	9.99609129101	-6.64080902322e-05
2	8	9.9904192697	-0.000269048803428
4	8	9.9667033049	0.000770299375165
8	8	9.87557342003	-0.004100997769
16	8	9.50285449128	0.0167182792668
24	8	8.97540320034	-0.00426028440458
32	8	8.28832910127	0.0743982432803
40	8	7.68160232882	0.00347464593828
48	8	6.99967788762	0.0543623487658
56	8	6.48410852698	0.00394489635915
64	8	5.99937655461	-0.0865032646632
72	8	5.45299567136	0.0612366054049
80	8	5.1357952452	-0.0211882754173
96	8	4.40472955598	0.0561815057399
112	8	3.86486288657	0.0282466542891
128	8	3.46895250985	-0.0115131084314
144	8	3.10331248509	0.0193744679039
160	8	2.80198440903	0.0379486412106
180	8	2.52450391323	0.0292023970653

0.5	10	9.99739363431	4.29424215789e-06
1	10	9.99547883181	9.33587196767e-05
2	10	9.98881589416	-0.000582597195549
4	10	9.95950452139	-0.000824333352668
8	10	9.84233696501	0.0022305449497
16	10	9.40347953962	0.0187678035288
24	10	8.74298064466	0.039198084293
32	10	8.01416576516	0.0446281627341
40	10	7.32445223962	0.00883166969648
48	10	6.66599892224	-0.00518803725935
56	10	6.03424122072	0.0215940970225
64	10	5.55354001577	0.0181285245512
72	10	5.0961450491	0.0112098604437
80	10	4.6205457063	0.0570114094882
96	10	4.08981025976	-0.0472231453202
112	10	3.55888644909	-0.044510303639
128	10	3.12819804989	-0.00262330812441
144	10	2.81377484831	0.00158999495384
160	10	2.5729214421	-0.00278597562855
180	10	2.29232074967	0.0186237241206

0.5	12	9.99724362156	4.58986888784e-05
1	12	9.99505842033	1.97681729601e-05
2	12	9.98635066723	9.11501422254e-05
4	12	9.95193918923	-0.00227627553896
8	12	9.8105384662	0.00534461437708
16	12	9.31227902519	-0.0209068628232
24	12	8.57509893839	-0.0011574776078
32	12	7.78344477175	-0.0174278586136
40	12	6.96695611028	0.0146939534966
48	12	6.33399590424	-0.0393939518533
56	12	5.71531338018	0.000160931779573
64	12	5.18662791478	0.0539052560638
72	12	4.71270583515	0.031604020801
80	12	4.40128333074	-0.0342128892156
96	12	3.80768742908	-0.0713567018431
112	12	3.26068903552	0.062788916521
128	12	2.90548536142	0.0227366732878
144	12	2.58521412793	0.0406181050135
160	12	2.3865729953	-0.0437764542669
180	12	2.13904034078	-0.0235148877436

0.5	16	9.9970242405	1.06286805395e-05
1	16	9.99440636423	-0.000201164416696
2	16	9.98313731505	-0.000669669912829
4	16	9.93243775874	0.00626714123493
8	16	9.74832160051	0.00168497047508
16	16	9.11517684285	-0.00730658277103
24	16	8.22496027864	-0.0244085948169
32	16	7.28337641767	-0.0161949879317
40	16	6.51620235523	-0.0563218106798
48	16	5.83358392649	-0.0666858817588
56	16	5.12710859166	0.0416485294343
64	16	4.56753734394	0.163870598164
72	16	4.32272612429	-0.057675413156
80	16	3.8984374067	0.0192208037228
96	16	3.30611740556	0.0509610096923
112	16	2.93005365727	-0.0171187195361
128	16	2.58355515228	-0.0276389018638
144	16	2.32935683494	-0.0461861218363
160	16	2.07727225325	-0.0136091789483
180	16	1.84904733899	0.0116683339223

0.5	20	9.99676899328	2.48200447564e-05
1	20	9.9933277837	-0.000270888055345
2	20	9.97880488336	-0.00045757867116
4	20	9.9240782642	-0.00409573670323
8	20	9.69726376027	-0.0014339365576
16	20	8.86540499391	0.0600921470148
24	20	7.86241082501	0.0284077876832
32	20	6.83044846419	0.0718675787742
40	20	6.06267637066	-0.00171443482407
48	20	5.35390341923	-0.00523074256133
56	20	4.76807167672	0.00736473958065
64	20	4.2590181651	0.0561124538023
72	20	3.9327639007	-0.00807012341905
80	20	3.56962556539	0.039676278711
96	20	3.01643003595	0.0570165257201
112	20	2.6510638601	0.00299561343859
128	20	2.32830758501	0.00191795604941
144	20	2.08342564854	-0.0162066550044
160	20	1.86279462938	0.00426230871943
180	20	1.68680683607	-0.0114358888877

0.5	24	9.9964225553	0.000151879094283
1	24	9.99228423038	-5.43750045628e-06
2	24	9.97609676453	-0.00181690045824
4	24	9.90762844551	0.000598590373966
8	24	9.6440821023	-0.00621692962263
16	24	8.67363657137	0.0150350239418
24	24	7.6656878887	-0.0850627910499
32	24	6.58703728283	-0.0410535765846
40	24	5.67631872366	0.0354975010317
48	24	5.0830617253	-0.112247678694
56	24	4.46656733354	-0.00489428100682
64	24	4.002889404	0.0120225456433
72	24	3.62875289671	0.0225527482947
80	24	3.34660990637	-0.0231394680249
96	24	2.82843351647	-0.029366028623
112	24	2.41441126641	0.0348694767531
128	24	2.14940697916	0.00704841434967
144	24	1.8786372718	0.0332108903159
160	24	1.7157104068	-0.0153639173537
180	24	1.53627620589	0.00835768895469

0.5	32	9.99617149619	-0.000136914628897
1	32	9.99046886071	-5.3157250783e-06
2	32	9.96773966164	-0.000675824416884
4	32	9.87954122771	-0.00321727079014
8	32	9.54346793563	-0.0299440301065
16	32	8.41646749843	-0.0535448809955
24	32	7.08365386578	0.0342829477644
32	32	5.98679305259	0.0456367202897
40	32	5.17408087579	0.00122720962417
48	32	4.50198191322	0.0581834967855
56	32	4.03982338537	-0.0399674926466
64	32	3.61988250983	-0.0363207217139
72	32	3.24700969004	0.0289521214862
80	32	2.97161829973	0.00454533157665
96	32	2.50583483657	0.00522052833591
112	32	2.15173884614	-0.00276586886168
128	32	1.87376506022	0.0348729970722
144	32	1.66706060248	0.00728239441591
160	32	1.50620503587	0.0215411313843
180	32	1.35796041953	0.0101555798889

0.5	40	9.99571381665	-4.88278475905e-05
1	40	9.98829236853	0.000590277163974
2	40	9.96107550619	-0.00199631928932
4	40	9.84515918121	0.00344567140013
8	40	9.41201331912	0.0229271113112
16	40	8.1008812081	0.0109118139251
24	40	6.73925164004	-0.0380655972066
32	40	5.61941408771	-0.00583219454072
40	40	4.8286212856	-0.00174754553695
48	40	4.1683157913	0.034947869582
56	40	3.70291263709	-0.030142545832
64	40	3.21893384496	0.0844748013665
72	40	2.96184609765	-0.00465287019899
80	40	2.7372630058	-0.0806684726744
96	40	2.25825709616	0.0106437112234
112	40	1.92472661253	0.00823840175648
128	40	1.71899412939	-0.00878368619062
144	40	1.52319238664	-0.0205065008313
160	40	1.37610502662	-0.0131216428257
180	40	1.22770323222	-0.0106890186256

0.5	48	9.99504342724	1.76832084846e-05
1	48	9.98644514792	6.20206409405e-05
2	48	9.95026898189	0.00246011538554
4	48	9.81270518823	-0.000249182147922
8	48	9.29657158077	0.0211101713051
16	48	7.80201028632	-0.0807874224231
24	48	6.34135030333	-0.0392961124067
32	48	5.27330208571	-0.0248590353389
40	48	4.47587408834	-0.0527821924922
48	48	3.7974665238	0.0541322497636
56	48	3.34558281627	0.0510865089881
64	48	2.98137935644	0.0501616262838
72	48	2.73163219992	-0.0247603833203
80	48	2.47512474015	-0.00402706105209
96	48	2.07831950544	-0.00697872815192
112	48	1.78556958888	0.00909748994491
128	48	1.55997692931	-0.0207891935397
144	48	1.39424083869	-0.028027134072
160	48	1.23617706006	0.00299147494378
