V	#AF	Average_Time
2.19	0	0.2054229712
2.19	0	0.1728403664
2.19	0	0.2079210853
2.19	0	0.1781908433
2.19	0	0.1895737836
2.19	0	0.224570673
2.19	0	0.1578450953
2.19	30	0.2239215552
2.19	60	0.2614397429
2.19	60	0.2161314727
2.19	90	0.2273667708
2.19	120	0.2561895512
2.19	120	0.2867660295
2.19	120	0.2871905416
2.19	180	0.3951649997
2.19	180	0.3313170027
2.19	240	0.3422973582
2.19	240	0.4253263784
2.19	240	0.3001807686
2.19	360	0.4665759931
2.19	360	0.6715241982
2.19	390	0.3764911408
2.19	480	0.4026446219
2.19	480	0.4047777864
2.19	600	0.2865636711
2.19	720	0.5480197819
2.19	720	0.5271255197
2.19	780	0.5760573748
2.19	900	0.4752491923
2.19	960	0.5944864373
2.19	1170	0.5622256243
2.19	1200	0.6832388503
2.19	1440	0.4453063797
2.19	1560	0.4574828391
2.19	1800	0.607811554
2.19	1800	0.4570138899
2.19	2340	0.3429083658
2.19	2400	0.4864724568
2.19	2700	0.3904218297
2.19	3600	0.2493859154
2.19	3600	0.2418160707
2.19	5400	0.2183981268
1.46	0	0.1589674502
1.46	0	0.1664109603
1.46	0	0.1579157279
1.46	0	0.161266261
1.46	0	0.1704129716
1.46	0	0.1584676971
1.46	0	0.156329497
1.46	30	0.181766435
1.46	60	0.1760956864
1.46	60	0.1630266817
1.46	90	0.1894307474
1.46	120	0.2074964635
1.46	120	0.1879310127
1.46	120	0.1947942881
1.46	180	0.2322356958
1.46	180	0.2485489177
1.46	240	0.2377042154
1.46	240	0.3483739607
1.46	240	0.2212036273
1.46	360	0.3059389724
1.46	360	0.4775565538
1.46	390	0.1766290453
1.46	480	0.3327196878
1.46	480	0.4778661357
1.46	600	0.2409115505
1.46	720	0.281217873
1.46	720	0.3001245934
1.46	780	0.3414605781
1.46	900	0.2569343784
1.46	960	0.3379406349
1.46	1170	0.3541234032
1.46	1200	0.4348073392
1.46	1440	0.2966395161
1.46	1560	0.3375362663
1.46	1800	0.3278551961
1.46	1800	0.3279028276
1.46	2340	0.1695206406
1.46	2400	0.1858160155
1.46	2700	0.2744268136
1.46	3600	0.1834929172
1.46	3600	0.1972447558
1.46	5400	0.1719822241
