#A/V	T/V
1.4091337304	0.269627317
1.5628392514	0.3184856002
1.5992450895	0.3078838462
1.6736302104	0.3652680663
1.7993737065	0.3398016986
1.8748361564	0.2985383589
1.9515609408	0.3139271121
2.0934310973	0.6005832799
2.104311442	0.4233436615
2.1221884514	0.5081978029
2.197507577	0.3441037324
2.2070142374	0.5497609626
2.4243993091	0.4820022589
2.4674048719	0.6250671597
2.4964719028	0.5647936285
2.5418129087	0.5493324371
2.7183969365	0.5642146788
3.0181562488	0.6072274586
3.3197249339	0.6258159905
3.3595046046	0.7339338732
3.4294303942	0.5207738389
3.4747622136	0.607139252
3.5134788767	0.65578408
3.6002810952	0.676567632
3.6566645561	0.7503846345
3.9425813366	0.694105709
4.3230371397	0.8051987764
4.402367503	0.8435047534
4.4155482416	0.5557862842
4.5630672034	0.8843639885
4.5824605897	0.6507722466
4.6602436419	0.82904222
4.8023785451	0.6323344039
4.836528069	0.4997256623
5.0529381757	0.7111819442
5.2214565214	0.5760197445
5.2431928289	0.6451369642
5.2541983702	0.4602757735
5.267476672	0.6161475699
5.2904056779	0.5665536526
5.5361623974	0.8849372883
5.5660477032	0.446132501
6.1143451998	0.4090333367
6.1235823984	0.4758044045
6.2337125661	0.5867273979
6.304132752	0.4401929915
6.3544139198	0.348020394
6.4894583239	0.3270908246
6.5024356504	0.5250942943
6.6641830156	0.35378231
6.6697381603	0.3607301631
6.7578567357	0.4300661033
6.8534097541	0.4970921258
7.0522646549	0.4096363469
7.1007342697	0.3507976803
7.125075501	0.4878580243
7.2857264494	0.4225893312
7.3343383756	0.3842527101
7.3597865092	0.3019012624
7.4130095572	0.3705935415
7.4131219487	0.4648038776
7.6199750635	0.3366045092
7.8198187837	0.3540321352
8.1549464626	0.326103123
8.1666368393	0.280699717
8.2208154637	0.2668289787
8.2252291276	0.3545562243
8.6561128892	0.3162833966
8.6845695323	0.3227651146
9.1708568609	0.2764463644
