Angle	Frequency	m	p	ARF	AF
0.5	0.5	9.9979738033	-1.66367923191e-06	0.353553390593	0.25
0.5	1.0	9.99794124681	1.80328390385e-06	0.5	0.5
1.0	0.5	9.99789167798	-1.0625723801e-06	0.707106781187	0.5
0.5	2.0	9.9978761485	4.70366180033e-06	0.707106781187	1.0
1.0	1.0	9.99778576213	-1.30618221284e-05	1.0	1.0
0.5	4.0	9.99776733201	-1.54463630793e-05	1.0	2.0
0.5	6.0	9.99764510655	-9.20907774665e-06	1.22474487139	3.0
0.5	8.0	9.99751972855	8.04860862256e-06	1.41421356237	4.0
1.0	2.0	9.99751621886	7.38971594097e-06	1.41421356237	2.0
2.0	0.5	9.99754975764	1.02071982723e-05	1.41421356237	1.0
0.5	10.0	9.99739363431	4.29424215789e-06	1.58113883008	5.0
0.5	12.0	9.99724362156	4.58986888784e-05	1.73205080757	6.0
0.5	16.0	9.9970242405	1.06286805395e-05	2.0	8.0
1.0	4.0	9.99704637836	2.14993695264e-05	2.0	4.0
2.0	1.0	9.99708776939	-9.85770371407e-06	2.0	2.0
0.5	20.0	9.99676899328	2.48200447564e-05	2.2360679775	10.0
0.5	24.0	9.9964225553	0.000151879094283	2.44948974278	12.0
1.0	6.0	9.99646968547	7.91521427056e-05	2.44948974278	6.0
1.0	8.0	9.99609129101	-6.64080902322e-05	2.82842712475	8.0
2.0	2.0	9.99602493245	5.59720825596e-05	2.82842712475	4.0
4.0	0.5	9.99619309743	6.7532245004e-05	2.82842712475	2.0
0.5	32.0	9.99617149619	-0.000136914628897	2.82842712475	16.0
1.0	10.0	9.99547883181	9.33587196767e-05	3.16227766017	10.0
0.5	40.0	9.99571381665	-4.88278475905e-05	3.16227766017	20.0
1.0	12.0	9.99505842033	1.97681729601e-05	3.46410161514	12.0
0.5	48.0	9.99504342724	1.76832084846e-05	3.46410161514	24.0
0.5	56.0	9.9944318506	0.000171034358575	3.74165738677	28.0
1.0	16.0	9.99440636423	-0.000201164416696	4.0	16.0
0.5	64.0	9.99424420402	-4.44799606132e-05	4.0	32.0
4.0	1.0	9.99450498012	-0.000146883663399	4.0	4.0
2.0	4.0	9.99411412062	-0.000117795873593	4.0	8.0
1.0	20.0	9.9933277837	-0.000270888055345	4.472135955	20.0
0.5	80.0	9.99316442269	0.000168330806887	4.472135955	40.0
1.0	24.0	9.99228423038	-5.43750045628e-06	4.89897948557	24.0
2.0	6.0	9.99195132791	0.000209463829119	4.89897948557	12.0
0.5	96.0	9.992358898	-2.18683313573e-05	4.89897948557	48.0
0.5	112.0	9.990872378	0.000511459650655	5.29150262213	56.0
1.0	32.0	9.99046886071	-5.3157250783e-06	5.65685424949	32.0
0.5	128.0	9.99050478105	-0.000107383391678	5.65685424949	64.0
4.0	2.0	9.99043286983	-0.000119869024757	5.65685424949	8.0
8.0	0.5	9.99131001553	-0.000255281394804	5.65685424949	4.0
2.0	8.0	9.9904192697	-0.000269048803428	5.65685424949	16.0
2.0	10.0	9.98881589416	-0.000582597195549	6.32455532034	20.0
1.0	40.0	9.98829236853	0.000590277163974	6.32455532034	40.0
0.5	160.0	9.98952284028	5.12872805879e-05	6.32455532034	80.0
1.0	48.0	9.98644514792	6.20206409405e-05	6.92820323028	48.0
0.5	192.0	9.98764744338	0.000432406720926	6.92820323028	96.0
2.0	12.0	9.98635066723	9.11501422254e-05	6.92820323028	24.0
0.5	224.0	9.9849671576	0.00113206554084	7.48331477355	112.0
1.0	56.0	9.9838907634	0.000324515646704	7.48331477355	56.0
4.0	4.0	9.98253085242	0.000130818770365	8.0	16.0
0.5	256.0	9.98324137805	-0.0007068174716	8.0	128.0
1.0	64.0	9.98272265335	0.000244696574733	8.0	64.0
2.0	16.0	9.98313731505	-0.000669669912829	8.0	32.0
8.0	1.0	9.98370326236	5.00699297907e-05	8.0	8.0
2.0	20.0	9.97880488336	-0.00045757867116	8.94427191	40.0
0.5	320.0	9.98233886743	0.000299296360269	8.94427191	160.0
1.0	80.0	9.97910208487	0.000712250628153	8.94427191	80.0
4.0	6.0	9.97436469285	0.00013594582791	9.79795897113	24.0
2.0	24.0	9.97609676453	-0.00181690045824	9.79795897113	48.0
1.0	96.0	9.97729631769	-0.00184052176635	9.79795897113	96.0
0.5	384.0	9.97798007763	-0.000808968701947	9.79795897113	192.0
1.0	112.0	9.97198964886	-0.00101580700979	10.5830052443	112.0
2.0	32.0	9.96773966164	-0.000675824416884	11.313708499	64.0
16.0	0.5	9.97051356358	0.000144792042518	11.313708499	8.0
0.5	512.0	9.96653769744	0.00163326719074	11.313708499	256.0
1.0	128.0	9.96857080294	-0.00066938529628	11.313708499	128.0
4.0	8.0	9.9667033049	0.000770299375165	11.313708499	32.0
8.0	2.0	9.96797827534	-0.000834326879252	11.313708499	16.0
4.0	10.0	9.95950452139	-0.000824333352668	12.6491106407	40.0
2.0	40.0	9.96107550619	-0.00199631928932	12.6491106407	80.0
1.0	160.0	9.96293336301	0.00176245688765	12.6491106407	160.0
2.0	48.0	9.95026898189	0.00246011538554	13.8564064606	96.0
1.0	192.0	9.95765503733	-0.000449129411537	13.8564064606	192.0
4.0	12.0	9.95193918923	-0.00227627553896	13.8564064606	48.0
1.0	224.0	9.94661724214	0.00232293031376	14.9666295471	224.0
2.0	56.0	9.94675447599	-0.0028254300822	14.9666295471	112.0
2.0	64.0	9.9412205285	-0.0055620735933	16.0	128.0
4.0	16.0	9.93243775874	0.00626714123493	16.0	64.0
8.0	4.0	9.93628061312	-0.00103243793412	16.0	32.0
1.0	256.0	9.9404122176	-0.00339107114019	16.0	256.0
0.5	1024.0	9.93724683123	0.000533197213038	16.0	512.0
16.0	1.0	9.94126221435	-0.00227034830243	16.0	16.0
24.0	0.5	9.9364253868	-0.000609940250073	16.9705627485	12.0
2.0	80.0	9.9198322434	0.00354918240576	17.88854382	160.0
4.0	20.0	9.9240782642	-0.00409573670323	17.88854382	80.0
1.0	320.0	9.93725714026	0.000675336729691	17.88854382	320.0
1.0	384.0	9.91542392955	0.00209352298296	19.5959179423	384.0
8.0	6.0	9.90262212268	0.00128181823512	19.5959179423	48.0
2.0	96.0	9.91119656863	-0.00231632654964	19.5959179423	192.0
4.0	24.0	9.90762844551	0.000598590373966	19.5959179423	96.0
2.0	112.0	9.8876866616	0.00484420900284	21.1660104885	224.0
16.0	2.0	9.87653025584	0.00181584499577	22.627416998	32.0
1.0	512.0	9.87850015979	-0.00239078784858	22.627416998	512.0
32.0	0.5	9.89024974223	-0.00531103919424	22.627416998	16.0
8.0	8.0	9.87557342003	-0.004100997769	22.627416998	64.0
4.0	32.0	9.87954122771	-0.00321727079014	22.627416998	128.0
2.0	128.0	9.87945611587	-0.00319228877991	22.627416998	256.0
0.5	2048.0	9.87957388669	-0.00138681381569	22.627416998	1024.0
24.0	1.0	9.86683273588	0.0023093197107	24.0	24.0
4.0	40.0	9.84515918121	0.00344567140013	25.2982212813	160.0
8.0	10.0	9.84233696501	0.0022305449497	25.2982212813	80.0
2.0	160.0	9.85707743531	0.00288560024437	25.2982212813	320.0
8.0	12.0	9.8105384662	0.00534461437708	27.7128129211	96.0
4.0	48.0	9.81270518823	-0.000249182147922	27.7128129211	192.0
2.0	192.0	9.83518712699	0.00449460112865	27.7128129211	384.0
40.0	0.5	9.82848811052	-0.0014419918875	28.2842712475	20.0
2.0	224.0	9.80051498229	0.00699783974471	29.9332590942	448.0
4.0	56.0	9.78844557608	-0.00320112680554	29.9332590942	224.0
16.0	4.0	9.77220845026	-0.0216299517031	32.0	64.0
1.0	1024.0	9.75774559475	0.00183110146394	32.0	1024.0
2.0	256.0	9.7596958537	-0.00780503620239	32.0	512.0
8.0	16.0	9.74832160051	0.00168497047508	32.0	128.0
4.0	64.0	9.75138791021	0.00768765765454	32.0	256.0
0.5	4096.0	9.75720146205	0.0115344937338	32.0	2048.0
32.0	1.0	9.76486248534	0.0113989174261	32.0	32.0
24.0	2.0	9.71903907559	0.0074907473939	33.941125497	48.0
48.0	0.5	9.75024292181	0.00591629026876	33.941125497	24.0
8.0	20.0	9.69726376027	-0.0014339365576	35.77708764	160.0
4.0	80.0	9.71214124697	-0.00690689005095	35.77708764	320.0
2.0	320.0	9.76015780891	-0.00479450422368	35.77708764	640.0
2.0	384.0	9.67125108083	0.0139166082512	39.1918358845	768.0
4.0	96.0	9.67051407304	-0.0169616412926	39.1918358845	384.0
16.0	6.0	9.62816314312	0.0129824293156	39.1918358845	96.0
8.0	24.0	9.6440821023	-0.00621692962263	39.1918358845	192.0
56.0	0.5	9.64301302106	0.0331730503079	39.5979797464	28.0
40.0	1.0	9.63813434364	0.0112533682772	40.0	40.0
4.0	112.0	9.58148576154	0.00346544865908	42.332020977	448.0
1.0	2048.0	9.54665680022	-0.0214275610789	45.2548339959	2048.0
64.0	0.5	9.561034495	-0.00170045623964	45.2548339959	32.0
4.0	128.0	9.5431330465	-0.0100614262179	45.2548339959	512.0
8.0	32.0	9.54346793563	-0.0299440301065	45.2548339959	256.0
16.0	8.0	9.50285449128	0.0167182792668	45.2548339959	128.0
32.0	2.0	9.532756533	-0.0025173552672	45.2548339959	64.0
2.0	512.0	9.50970048964	0.0179205952691	45.2548339959	1024.0
48.0	1.0	9.49210304648	-0.00583664326747	48.0	48.0
24.0	4.0	9.45801987675	0.00412674569942	48.0	96.0
16.0	10.0	9.40347953962	0.0187678035288	50.5964425627	160.0
8.0	40.0	9.41201331912	0.0229271113112	50.5964425627	320.0
4.0	160.0	9.4830706267	-0.0237279535813	50.5964425627	640.0
72.0	0.5	9.44851245497	0.00416912846374	50.9116882454	36.0
8.0	48.0	9.29657158077	0.0211101713051	55.4256258422	384.0
4.0	192.0	9.38140490304	0.0117418825879	55.4256258422	768.0
16.0	12.0	9.31227902519	-0.0209068628232	55.4256258422	192.0
56.0	1.0	9.32679945108	-0.00546192246259	56.0	56.0
80.0	0.5	9.33559988922	-0.00930628568983	56.5685424949	40.0
40.0	2.0	9.27433498941	-0.017596898251	56.5685424949	80.0
24.0	6.0	9.22851302154	-0.03212808603	58.7877538268	144.0
4.0	224.0	9.27998103304	0.0255899278376	59.8665181884	896.0
8.0	56.0	9.18296708704	0.0159244931745	59.8665181884	448.0
16.0	16.0	9.11517684285	-0.00730658277103	64.0	256.0
2.0	1024.0	9.12797466136	-0.0314764204966	64.0	2048.0
32.0	4.0	9.11907253165	-0.0658660104075	64.0	128.0
4.0	256.0	9.08263422308	0.0090115386066	64.0	1024.0
1.0	4096.0	9.10589779656	0.039373903501	64.0	4096.0
64.0	1.0	9.12940030377	0.0197991599454	64.0	64.0
8.0	64.0	9.12803543617	-0.0504159982652	64.0	512.0
24.0	8.0	8.97540320034	-0.00426028440458	67.8822509939	192.0
96.0	0.5	9.07837173324	0.0111500472521	67.8822509939	48.0
48.0	2.0	8.96192790753	0.0336784140423	67.8822509939	96.0
8.0	80.0	8.94870151634	-0.017828396587	71.55417528	640.0
16.0	20.0	8.86540499391	0.0600921470148	71.55417528	320.0
4.0	320.0	9.10679080281	0.000988770432226	71.55417528	1280.0
72.0	1.0	8.95254637317	-0.0536876817486	72.0	72.0
24.0	10.0	8.74298064466	0.039198084293	75.894663844	240.0
32.0	6.0	8.66282493974	0.00752960154283	78.3836717691	192.0
8.0	96.0	8.76865631285	0.00499735308629	78.3836717691	768.0
4.0	384.0	8.85688441032	0.00516010682102	78.3836717691	1536.0
16.0	24.0	8.67363657137	0.0150350239418	78.3836717691	384.0
56.0	2.0	8.69301430299	0.0117332460637	79.1959594929	112.0
112.0	0.5	8.84087183396	-0.0483136485861	79.1959594929	56.0
80.0	1.0	8.66692671298	0.0326133734243	80.0	80.0
40.0	4.0	8.67319502923	-0.0206335305504	80.0	160.0
24.0	12.0	8.57509893839	-0.0011574776078	83.1384387633	288.0
8.0	112.0	8.48333035518	0.0501382751982	84.6640419541	896.0
2.0	2048.0	8.34237310784	0.0690348535712	90.5096679919	4096.0
128.0	0.5	8.42472702021	0.105818719215	90.5096679919	64.0
16.0	32.0	8.41646749843	-0.0535448809955	90.5096679919	512.0
64.0	2.0	8.31953583255	4.94468825169e-05	90.5096679919	128.0
32.0	8.0	8.28832910127	0.0743982432803	90.5096679919	256.0
4.0	512.0	8.39251755506	0.0186080170018	90.5096679919	2048.0
8.0	128.0	8.39560421203	0.0062156205438	90.5096679919	1024.0
24.0	16.0	8.22496027864	-0.0244085948169	96.0	384.0
96.0	1.0	8.25233592883	-0.0571085468014	96.0	96.0
48.0	4.0	8.18218906668	-0.0440200383098	96.0	192.0
40.0	6.0	8.11977176664	0.00196070582924	97.9795897113	240.0
8.0	160.0	8.17594182828	0.0267637565696	101.192885125	1280.0
32.0	10.0	8.01416576516	0.0446281627341	101.192885125	320.0
16.0	40.0	8.1008812081	0.0109118139251	101.192885125	640.0
144.0	0.5	8.10394968065	0.0203433893598	101.823376491	72.0
72.0	2.0	8.01189661155	-0.00575388636127	101.823376491	144.0
24.0	20.0	7.86241082501	0.0284077876832	107.33126292	480.0
16.0	48.0	7.80201028632	-0.0807874224231	110.851251684	768.0
32.0	12.0	7.78344477175	-0.0174278586136	110.851251684	384.0
8.0	192.0	7.94877893675	0.0264053000012	110.851251684	1536.0
112.0	1.0	7.71355156192	0.0145192375508	112.0	112.0
56.0	4.0	7.67515040202	0.036633814993	112.0	224.0
160.0	0.5	7.89407032096	-0.064480306293	113.13708499	80.0
80.0	2.0	7.64662666669	-0.00452682753901	113.13708499	160.0
40.0	8.0	7.68160232882	0.00347464593828	113.13708499	320.0
48.0	6.0	7.48932084362	0.0686627237894	117.575507654	288.0
24.0	24.0	7.6656878887	-0.0850627910499	117.575507654	576.0
16.0	56.0	7.49182517627	0.0326723945332	119.733036377	896.0
8.0	224.0	7.74110669505	-0.106095652417	119.733036377	1792.0
40.0	10.0	7.32445223962	0.00883166969648	126.491106407	400.0
180.0	0.5	7.44113150324	0.0218062715796	127.279220614	90.0
32.0	16.0	7.28337641767	-0.0161949879317	128.0	512.0
16.0	64.0	7.31694	-0.0179489472228	128.0	1024.0
4.0	1024.0	7.24816591609	-0.0135958822975	128.0	4096.0
64.0	4.0	7.26572186551	-0.0390019400517	128.0	256.0
128.0	1.0	7.25281936888	0.0341301298977	128.0	128.0
8.0	256.0	7.24842812649	0.0966498790448	128.0	2048.0
2.0	4096.0	7.29553935455	0.131210925207	128.0	8192.0
48.0	8.0	6.99967788762	0.0543623487658	135.764501988	384.0
24.0	32.0	7.08365386578	0.0342829477644	135.764501988	768.0
96.0	2.0	7.02094128548	-0.011118952817	135.764501988	192.0
56.0	6.0	6.99870481887	0.0110922239927	137.171425596	336.0
40.0	12.0	6.96695611028	0.0146939534966	138.564064606	480.0
32.0	20.0	6.83044846419	0.0718675787742	143.10835056	640.0
16.0	80.0	7.00253230019	-0.0429969837941	143.10835056	1280.0
8.0	320.0	7.28439720116	0.0736618537723	143.10835056	2560.0
72.0	4.0	6.73404253454	0.0765549051836	144.0	288.0
144.0	1.0	6.82531718915	-0.0346196406691	144.0	144.0
48.0	10.0	6.66599892224	-0.00518803725935	151.789327688	480.0
24.0	40.0	6.73925164004	-0.0380655972066	151.789327688	960.0
32.0	24.0	6.58703728283	-0.0410535765846	156.767343538	768.0
16.0	96.0	6.62846768899	-0.0237827475516	156.767343538	1536.0
8.0	384.0	6.87167229278	-0.0739870850497	156.767343538	3072.0
64.0	6.0	6.55996583605	-0.0789782096093	156.767343538	384.0
112.0	2.0	6.38472854723	0.03105331106	158.391918986	224.0
