A_exp	F_exp	Mean_std

0.1	0.1	1.07812409755
0.1	0.1494	1.69137198433
0.1	0.1987	2.01272774855
0.1	0.2481	2.22675094295
0.1	0.2975	2.31584392894
0.1	0.3468	2.40842583143
0.1	0.3962	2.47901563635
0.1	0.4456	2.53428621715
0.1	0.4949	2.56841839961
0.1	0.5443	2.60386198875
0.1	0.5937	2.6233823295
0.1	0.643	2.62794944623
0.1	0.6924	2.65864263668
0.1	0.7418	2.66375190998
0.1	0.7911	2.67587495623
0.1	0.8405	2.69251342922
0.1	0.8899	2.70506210798
0.1	0.9392	2.71190297963
0.1	0.9886	2.71738026729
0.1	1.038	2.72276893237
0.1	1.087	2.72541802748
0.1	1.137	2.72840556652
0.1	1.186	2.73361824716
0.1	1.235	2.7381400406
0.1	1.285	2.74193490827
0.1	1.334	2.738856803
0.1	1.384	2.74267335787
0.1	1.433	2.73881457588
0.1	1.482	2.74081066867
0.1	1.532	2.74651192797
0.1	1.581	2.74651192797
0.1	1.63	2.75406984337
0.1	1.68	2.75136590824
0.1	1.729	2.75924048998
0.1	1.778	2.76038588572
0.1	1.828	2.76375794488
0.1	1.877	2.76375794488
0.1	1.927	2.76454080086
0.1	1.976	2.75987001046
0.1	2.025	2.76263764722
0.1	2.075	2.76299829954
0.1	2.124	2.76299829954
0.1	2.173	2.7646678787
0.1	2.223	2.7646678787
0.1	2.272	2.7693839905
0.1	2.322	2.771929943
0.1	2.371	2.771929943
0.1	2.42	2.77542316424
0.1	2.47	2.77542316424
0.1	2.519	2.7750370167
0.1	2.568	2.7750370167
0.1	2.618	2.7750370167
0.1	2.667	2.7750370167
0.1	2.716	2.77508394459
0.1	2.766	2.77508394459
0.1	2.815	2.77732554132
0.1	2.865	2.77173083009
0.1	2.914	2.77173083009
0.1	2.963	2.77173083009
0.1	3.013	2.76781702166
0.1	3.062	2.77408777014
0.1	3.111	2.77408777014
0.1	3.161	2.77408777014
0.1	3.21	2.77408777014
0.1	3.259	2.77158800427
0.1	3.309	2.77115816772
0.1	3.358	2.77115816772
0.1	3.408	2.77115816772
0.1	3.457	2.77115816772
0.1	3.506	2.77115816772
0.1	3.556	2.77115816772
0.1	3.605	2.77115816772
0.1	3.654	2.77526451499
0.1	3.704	2.77526451499
0.1	3.753	2.77002127898
0.1	3.803	2.77002127898
0.1	3.852	2.77002127898
0.1	3.901	2.77002127898
0.1	3.951	2.77002127898
0.1	4	2.77002127898

0.1494	0.1	0.479611112851
0.1494	0.1494	1.07010548646
0.1494	0.1987	1.53936104956
0.1494	0.2481	1.8233101333
0.1494	0.2975	2.0144320463
0.1494	0.3468	2.17284779309
0.1494	0.3962	2.27094384198
0.1494	0.4456	2.3180407328
0.1494	0.4949	2.39246888545
0.1494	0.5443	2.4438525025
0.1494	0.5937	2.48135683942
0.1494	0.643	2.51804335498
0.1494	0.6924	2.54846647202
0.1494	0.7418	2.56841839961
0.1494	0.7911	2.59362505227
0.1494	0.8405	2.61072853437
0.1494	0.8899	2.62369689594
0.1494	0.9392	2.62626767427
0.1494	0.9886	2.65035566522
0.1494	1.038	2.65864263668
0.1494	1.087	2.65951235667
0.1494	1.137	2.66500882855
0.1494	1.186	2.67788124215
0.1494	1.235	2.69044589756
0.1494	1.285	2.69733937492
0.1494	1.334	2.70506210798
0.1494	1.384	2.71190903073
0.1494	1.433	2.70952414969
0.1494	1.482	2.71738026729
0.1494	1.532	2.71962947272
0.1494	1.581	2.72698105668
0.1494	1.63	2.72541802748
0.1494	1.68	2.72830988056
0.1494	1.729	2.73051108385
0.1494	1.778	2.73361824716
0.1494	1.828	2.73650073858
0.1494	1.877	2.73931650093
0.1494	1.927	2.74193490827
0.1494	1.976	2.738856803
0.1494	2.025	2.74010700968
0.1494	2.075	2.74267335787
