i	speed	frequency	angle	area	area/speed2	normedArea/s2	difficulty	amplitude	time	errors	product	product_-2.0	product_-1.5	product_-1.0	product_-0.5	product_0.0	product_0.5	product_1.5	product_2.0
0	3	4	180	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	1.25766	0.0	1.25766	1.25766	1.25766	1.25766	1.25766	1.25766	1.25766	1.25766	1.25766
1	3	1	0	0.0	0.0	0.0	1.8	4.5	1.123116	1.0	2.246232	1.3356175381733961	1.4350095453985257	1.5883258793182211	1.8335171036517004	2.246232	2.993266028961675	7.977485424600839	17.969856
2	5	16	180	4.709085	0.18836340000000001	0.06622998	3.7421230000000003	4.5	1.041008	0.0	1.041008	1.041008	1.041008	1.041008	1.041008	1.041008	1.041008	1.041008	1.041008
3	5	32	90	8.911724000000001	0.356469	0.1253372	4.315533	4.5	0.8407154	0.0	0.8407154	0.8407154	0.8407154	0.8407154	0.8407154	0.8407154	0.8407154	0.8407154	0.8407154
4	5	32	180	2.472543	0.09890171	0.03477458	3.4027839999999996	4.5	1.015509	0.0	1.015509	1.015509	1.015509	1.015509	1.015509	1.015509	1.015509	1.015509	1.015509
5	5	8	180	8.911724000000001	0.356469	0.1253372	4.315533	4.5	0.849165	0.0	0.849165	0.849165	0.849165	0.849165	0.849165	0.849165	0.849165	0.849165	0.849165
6	5	4	180	16.587	0.6634799	0.23328449999999998	5.146354	4.5	0.9245644000000001	0.0	0.9245644000000001	0.9245644000000001	0.9245644000000001	0.9245644000000001	0.9245644000000001	0.9245644000000001	0.9245644000000001	0.9245644000000001	0.9245644000000001
7	3	32	90	3.2082200000000003	0.35646890000000003	0.1253371	2.5893200000000003	4.5	2.2072220000000002	0.0	2.2072220000000002	2.2072220000000002	2.2072220000000002	2.2072220000000002	2.2072220000000002	2.2072220000000002	2.2072220000000002	2.2072220000000002	2.2072220000000002
8	3	8	45	23.60454	2.6227270000000003	0.9221705	2.3167590000000002	4.5	1.156425	0.0	1.156425	1.156425	1.156425	1.156425	1.156425	1.156425	1.156425	1.156425	1.156425
9	3	32	45	10.66099	1.184555	0.4164982	3.5497980000000005	4.5	1.14819	0.0	1.14819	1.14819	1.14819	1.14819	1.14819	1.14819	1.14819	1.14819	1.14819
10	5	32	45	29.61386	1.184555	0.4164982	5.91633	4.5	1.9821400000000002	2.0	5.946420000000001	2.6086429440336536	2.92295522761673	3.4331671877145746	4.310324832076426	5.946420000000001	9.373152329308056	44.32380386270042	160.55334000000002
11	3	4	45	25.52536	2.8361520000000002	0.9972120999999999	1.8200169999999998	4.5	0.9990443999999999	0.0	0.9990443999999999	0.9990443999999999	0.9990443999999999	0.9990443999999999	0.9990443999999999	0.9990443999999999	0.9990443999999999	0.9990443999999999	0.9990443999999999
12	3	16	90	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	1.024263	0.0	1.024263	1.024263	1.024263	1.024263	1.024263	1.024263	1.024263	1.024263	1.024263
