i	speed	frequency	angle	area	area/speed2	normedArea/s2	difficulty	amplitude	time	errors	product	product_-2.0	product_-1.5	product_-1.0	product_-0.5	product_0.0	product_0.5	product_1.5	product_2.0
0	5	1	0	0.0	0.0	0.0	3.0	4.5	1.0740969999999999	0.0	1.0740969999999999	1.0740969999999999	1.0740969999999999	1.0740969999999999	1.0740969999999999	1.0740969999999999	1.0740969999999999	1.0740969999999999	1.0740969999999999
1	5	4	45	70.90379	2.8361509999999996	0.9972120999999999	3.033362	4.5	0.7993164	0.0	0.7993164	0.7993164	0.7993164	0.7993164	0.7993164	0.7993164	0.7993164	0.7993164	0.7993164
2	5	4	90	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	0.8659667999999999	0.0	0.8659667999999999	0.8659667999999999	0.8659667999999999	0.8659667999999999	0.8659667999999999	0.8659667999999999	0.8659667999999999	0.8659667999999999	0.8659667999999999
3	5	8	90	29.61386	1.184555	0.41649830000000004	5.91633	4.5	0.8990478999999999	0.0	0.8990478999999999	0.8990478999999999	0.8990478999999999	0.8990478999999999	0.8990478999999999	0.8990478999999999	0.8990478999999999	0.8990478999999999	0.8990478999999999
4	5	16	90	16.587	0.6634799	0.23328449999999998	5.146354	4.5	1.0072020000000002	0.0	1.0072020000000002	1.0072020000000002	1.0072020000000002	1.0072020000000002	1.0072020000000002	1.0072020000000002	1.0072020000000002	1.0072020000000002	1.0072020000000002
5	5	4	180	16.587	0.6634799	0.23328449999999998	5.146354	4.5	2.506836	3.0	10.027344	3.54520146984512	4.0924772526166615	5.013672	6.681079282084993	10.027344	17.806039315497834	126.47617798095075	641.750016
6	5	8	45	65.56818	2.6227270000000003	0.9221705	3.861265	4.5	0.7739258000000001	0.0	0.7739258000000001	0.7739258000000001	0.7739258000000001	0.7739258000000001	0.7739258000000001	0.7739258000000001	0.7739258000000001	0.7739258000000001	0.7739258000000001
7	3	16	90	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	1.50647	2.0	4.51941	1.9826260182925413	2.221510267563227	2.609282580078286	3.2759416841283526	4.51941	7.123801946145432	33.687065901017235	122.02407
8	3	32	180	0.8901154	0.09890171	0.03477458	2.04167	4.5	2.789551	4.0	13.947754999999999	4.171351688004437	4.927850465272176	6.2376256627025155	8.705239735026604	13.947754999999999	27.166091906649516	264.557468022821	1743.469375
9	3	32	90	3.2082200000000003	0.35646890000000003	0.1253372	2.5893200000000003	4.5	2.047607	3.0	8.190428	2.8957535898100866	3.342773547929998	4.095214	5.4571678025815045	8.190428	14.544138804727785	103.3069205033918	524.187392
10	5	32	180	2.472543	0.09890171	0.03477458	3.4027839999999996	4.5	1.032593	0.0	1.032593	1.032593	1.032593	1.032593	1.032593	1.032593	1.032593	1.032593	1.032593
11	3	4	90	17.31625	1.9240279999999998	0.6765026	3.375697	4.5	0.8908690999999999	0.0	0.8908690999999999	0.8908690999999999	0.8908690999999999	0.8908690999999999	0.8908690999999999	0.8908690999999999	0.8908690999999999	0.8908690999999999	0.8908690999999999
12	3	32	45	10.66099	1.184555	0.41649830000000004	3.5497980000000005	4.5	1.7987060000000001	2.0	5.396118	2.3672302235417257	2.6524549757562923	3.115450179878985	3.9114326623774605	5.396118	8.505728825229488	40.22192779050038	145.695186
13	5	8	180	8.911724000000001	0.356469	0.1253372	4.315533	4.5	2.555542	2.0	7.666626	3.3632824152086385	3.7685203105199996	4.426328584876184	5.557234172164556	7.666626	12.084658222902805	57.14598482997828	206.998902
14	3	1	0	0.0	0.0	0.0	1.8	4.5	1.208618	0.0	1.208618	1.208618	1.208618	1.208618	1.208618	1.208618	1.208618	1.208618	1.208618
15	3	16	45	17.31625	1.9240279999999998	0.6765026	3.375697	4.5	0.897583	0.0	0.897583	0.897583	0.897583	0.897583	0.897583	0.897583	0.897583	0.897583	0.897583
16	3	4	45	25.52536	2.8361520000000002	0.9972122	1.8200169999999998	4.5	1.291748	0.0	1.291748	1.291748	1.291748	1.291748	1.291748	1.291748	1.291748	1.291748	1.291748
17	3	16	180	1.695271	0.18836340000000001	0.06622999	2.245274	4.5	1.0228270000000002	0.0	1.0228270000000002	1.0228270000000002	1.0228270000000002	1.0228270000000002	1.0228270000000002	1.0228270000000002	1.0228270000000002	1.0228270000000002	1.0228270000000002
18	3	4	180	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	2.089966	0.0	2.089966	2.089966	2.089966	2.089966	2.089966	2.089966	2.089966	2.089966	2.089966
19	5	16	180	4.709085	0.18836340000000001	0.06622999	3.7421230000000003	4.5	3.246948	4.0	16.234740000000002	4.855319734488679	5.735860076591022	7.260396447406988	10.132620176926382	16.234740000000002	31.620460706440515	307.936417610491	2029.3425000000002
20	5	16	45	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	1.223999	0.0	1.223999	1.223999	1.223999	1.223999	1.223999	1.223999	1.223999	1.223999	1.223999
21	5	32	90	8.911724000000001	0.356469	0.1253372	4.315533	4.5	0.8825684000000001	0.0	0.8825684000000001	0.8825684000000001	0.8825684000000001	0.8825684000000001	0.8825684000000001	0.8825684000000001	0.8825684000000001	0.8825684000000001	0.8825684000000001
22	3	8	180	3.2082200000000003	0.35646890000000003	0.1253372	2.5893200000000003	4.5	1.3402100000000001	0.0	1.3402100000000001	1.3402100000000001	1.3402100000000001	1.3402100000000001	1.3402100000000001	1.3402100000000001	1.3402100000000001	1.3402100000000001	1.3402100000000001
23	3	8	45	23.60454	2.6227270000000003	0.9221705	2.3167590000000002	4.5	2.888916	3.0	11.555664	4.085544187756633	4.716233137995591	5.777832	7.699377556124075	11.555664	20.51995099606466	145.7530744683802	739.562496
24	5	32	45	29.61386	1.184555	0.41649830000000004	5.91633	4.5	3.28833	4.0	16.441650000000003	4.917200257753176	5.808962990986168	7.352929412451885	10.26175932179768	16.441650000000003	32.02346004765384	311.86103384504645	2055.20625
25	3	8	90	10.66099	1.184555	0.41649830000000004	3.5497980000000005	4.5	2.256226	3.0	9.024904	3.190785408978799	3.683349681336266	4.512452	6.013167508485395	9.024904	16.02595816425503	113.83227348787419	577.593856
0	5	1	0	0.0	0.0	0.0	3.0	4.5	1.299316	0.0	1.299316	1.299316	1.299316	1.299316	1.299316	1.299316	1.299316	1.299316	1.299316
1	5	4	45	70.90379	2.8361509999999996	0.9972120999999999	3.033362	4.5	1.257568	0.0	1.257568	1.257568	1.257568	1.257568	1.257568	1.257568	1.257568	1.257568	1.257568
2	5	4	90	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	1.281616	1.0	2.563232	1.5241068659013275	1.6375255926685017	1.812478728954357	2.092272620382648	2.563232	3.415691375578076	9.103309862859428	20.505856
3	5	8	90	29.61386	1.184555	0.41649830000000004	5.91633	4.5	1.989746	1.0	3.979492	2.366220100248204	2.5423059620898774	2.8139257788776164	3.248313907844387	3.979492	5.302959897341305	14.133152509320338	31.835936
4	5	16	90	16.587	0.6634799	0.23328449999999998	5.146354	4.5	1.7738040000000002	0.0	1.7738040000000002	1.7738040000000002	1.7738040000000002	1.7738040000000002	1.7738040000000002	1.7738040000000002	1.7738040000000002	1.7738040000000002	1.7738040000000002
5	5	4	180	16.587	0.6634799	0.23328449999999998	5.146354	4.5	1.5395510000000001	0.0	1.5395510000000001	1.5395510000000001	1.5395510000000001	1.5395510000000001	1.5395510000000001	1.5395510000000001	1.5395510000000001	1.5395510000000001	1.5395510000000001
6	5	8	45	65.56818	2.6227270000000003	0.9221705	3.861265	4.5	2.3977049999999998	0.0	2.3977049999999998	2.3977049999999998	2.3977049999999998	2.3977049999999998	2.3977049999999998	2.3977049999999998	2.3977049999999998	2.3977049999999998	2.3977049999999998
7	3	16	90	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	2.4230959999999997	1.0	4.846191999999999	2.881563003534633	3.095998890067442	3.426775226131997	3.95576944838291	4.846191999999999	6.457900111576113	17.211234656445633	38.769535999999995
8	3	32	180	0.8901154	0.09890171	0.03477458	2.04167	4.5	1.049072	0.0	1.049072	1.049072	1.049072	1.049072	1.049072	1.049072	1.049072	1.049072	1.049072
9	3	32	90	3.2082200000000003	0.35646890000000003	0.1253372	2.5893200000000003	4.5	1.181763	0.0	1.181763	1.181763	1.181763	1.181763	1.181763	1.181763	1.181763	1.181763	1.181763
10	5	32	180	2.472543	0.09890171	0.03477458	3.4027839999999996	4.5	1.407471	0.0	1.407471	1.407471	1.407471	1.407471	1.407471	1.407471	1.407471	1.407471	1.407471
11	3	4	90	17.31625	1.9240279999999998	0.6765026	3.375697	4.5	1.447754	1.0	2.895508	1.7216793575736493	1.8498007413204842	2.047433341779898	2.3634973777242636	2.895508	3.858473093156344	10.283386963953468	23.164064
12	3	32	45	10.66099	1.184555	0.41649830000000004	3.5497980000000005	4.5	2.1164549999999998	1.0	4.2329099999999995	2.5169033445830835	2.7042025288629454	2.993119365152349	3.4551697612794756	4.2329099999999995	5.64065764651744	15.033165687536787	33.863279999999996
13	5	8	180	8.911724000000001	0.356469	0.1253372	4.315533	4.5	1.122681	0.0	1.122681	1.122681	1.122681	1.122681	1.122681	1.122681	1.122681	1.122681	1.122681
14	3	1	0	0.0	0.0	0.0	1.8	4.5	1.208008	0.0	1.208008	1.208008	1.208008	1.208008	1.208008	1.208008	1.208008	1.208008	1.208008
15	3	16	45	17.31625	1.9240279999999998	0.6765026	3.375697	4.5	1.273193	0.0	1.273193	1.273193	1.273193	1.273193	1.273193	1.273193	1.273193	1.273193	1.273193
16	3	4	45	25.52536	2.8361520000000002	0.9972122	1.8200169999999998	4.5	1.92334	1.0	3.84668	2.2872496125693336	2.457458765654483	2.7200135130546688	3.139904325232177	3.84668	5.125978335401817	13.661471136153146	30.77344
17	3	16	180	1.695271	0.18836340000000001	0.06622999	2.245274	4.5	1.182129	0.0	1.182129	1.182129	1.182129	1.182129	1.182129	1.182129	1.182129	1.182129	1.182129
18	3	4	180	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	1.682129	0.0	1.682129	1.682129	1.682129	1.682129	1.682129	1.682129	1.682129	1.682129	1.682129
19	5	16	180	4.709085	0.18836340000000001	0.06622999	3.7421230000000003	4.5	1.206787	0.0	1.206787	1.206787	1.206787	1.206787	1.206787	1.206787	1.206787	1.206787	1.206787
20	5	16	45	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	1.6918950000000001	0.0	1.6918950000000001	1.6918950000000001	1.6918950000000001	1.6918950000000001	1.6918950000000001	1.6918950000000001	1.6918950000000001	1.6918950000000001	1.6918950000000001
21	5	32	90	8.911724000000001	0.356469	0.1253372	4.315533	4.5	2.1708979999999998	0.0	2.1708979999999998	2.1708979999999998	2.1708979999999998	2.1708979999999998	2.1708979999999998	2.1708979999999998	2.1708979999999998	2.1708979999999998	2.1708979999999998
22	3	8	180	3.2082200000000003	0.35646890000000003	0.1253372	2.5893200000000003	4.5	1.873779	0.0	1.873779	1.873779	1.873779	1.873779	1.873779	1.873779	1.873779	1.873779	1.873779
23	3	8	45	23.60454	2.6227270000000003	0.9221705	2.3167590000000002	4.5	1.048828	1.0	2.097656	1.247273720014074	1.3400914878616679	1.4832667821966488	1.7122399438604792	2.097656	2.7952778008895036	7.449818258232676	16.781248
24	5	32	45	29.61386	1.184555	0.41649830000000004	5.91633	4.5	1.17395	0.0	1.17395	1.17395	1.17395	1.17395	1.17395	1.17395	1.17395	1.17395	1.17395
25	3	8	90	10.66099	1.184555	0.41649830000000004	3.5497980000000005	4.5	1.257935	0.0	1.257935	1.257935	1.257935	1.257935	1.257935	1.257935	1.257935	1.257935	1.257935
0	5	1	0	0.0	0.0	0.0	3.0	4.5	1.9475099999999999	0.0	1.9475099999999999	1.9475099999999999	1.9475099999999999	1.9475099999999999	1.9475099999999999	1.9475099999999999	1.9475099999999999	1.9475099999999999	1.9475099999999999
1	5	4	45	70.90379	2.8361509999999996	0.9972120999999999	3.033362	4.5	2.697632	1.0	5.395264	3.2080431680590205	3.4467745717917966	3.8150277606916574	4.403956858737783	5.395264	7.1895781239337175	19.161262025415727	43.162112
2	5	4	90	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	2.188843	1.0	4.377686	2.602987669223901	2.7966929492401005	3.0954914565054126	3.5733451199237645	4.377686	5.8335821007185	15.547337166632452	35.021488
3	5	8	90	29.61386	1.184555	0.41649830000000004	5.91633	4.5	0.9663086	0.0	0.9663086	0.9663086	0.9663086	0.9663086	0.9663086	0.9663086	0.9663086	0.9663086	0.9663086
4	5	16	90	16.587	0.6634799	0.23328449999999998	5.146354	4.5	2.7474369999999997	0.0	2.7474369999999997	2.7474369999999997	2.7474369999999997	2.7474369999999997	2.7474369999999997	2.7474369999999997	2.7474369999999997	2.7474369999999997	2.7474369999999997
5	5	4	180	16.587	0.6634799	0.23328449999999998	5.146354	4.5	3.371582	2.0	10.114746	4.437251452738391	4.971890599169821	5.8397513258846905	7.331779600826329	10.114746	15.943551755553651	75.39393749937503	273.098142
6	5	8	45	65.56818	2.6227270000000003	0.9221705	3.861265	4.5	0.9573975	0.0	0.9573975	0.9573975	0.9573975	0.9573975	0.9573975	0.9573975	0.9573975	0.9573975	0.9573975
7	3	16	90	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	1.324463	0.0	1.324463	1.324463	1.324463	1.324463	1.324463	1.324463	1.324463	1.324463	1.324463
8	3	32	180	0.8901154	0.09890171	0.03477458	2.04167	4.5	2.813599	0.0	2.813599	2.813599	2.813599	2.813599	2.813599	2.813599	2.813599	2.813599	2.813599
9	3	32	90	3.2082200000000003	0.35646890000000003	0.1253372	2.5893200000000003	4.5	1.173584	0.0	1.173584	1.173584	1.173584	1.173584	1.173584	1.173584	1.173584	1.173584	1.173584
10	5	32	180	2.472543	0.09890171	0.03477458	3.4027839999999996	4.5	1.498901	1.0	2.997802	1.7825037338846936	1.9151514559559257	2.1197661228545948	2.4469962320727667	2.997802	3.9947872206225212	10.64668376233588	23.982416
11	3	4	90	17.31625	1.9240279999999998	0.6765026	3.375697	4.5	1.741211	2.0	5.223633	2.2915625481670223	2.567670192233522	3.0158659186978123	3.7864051031635633	5.223633	8.233846216950775	38.936248119495325	141.038091
12	3	32	45	10.66099	1.184555	0.41649830000000004	3.5497980000000005	4.5	3.820557	0.0	3.820557	3.820557	3.820557	3.820557	3.820557	3.820557	3.820557	3.820557	3.820557
13	5	8	180	8.911724000000001	0.356469	0.1253372	4.315533	4.5	1.098511	0.0	1.098511	1.098511	1.098511	1.098511	1.098511	1.098511	1.098511	1.098511	1.098511
