Angle	Frequency	m	p	ARF	AF	m
0.5	0.5	9.9979731306	-1.29992684688E-06	0.3535533906	0.25	9.9979731306
0.5	1	9.9979441096	-5.97755862661E-08	0.5	0.5	9.9979441096
1	0.5	9.997896157	-3.8444091587E-06	0.7071067812	0.5	9.997896157
0.5	2	9.9978749407	8.50088091984E-06	0.7071067812	1	9.9978749407
1	1	9.997780566	-1.5370802278E-05	1	1	9.997780566
0.5	4	9.9977588907	-0.000003537	1	2	9.9977588907
0.5	6	9.9976603783	-4.33885287187E-05	1.2247448714	3	9.9976603783
2	0.5	9.9975407811	3.34796571792E-05	1.4142135624	1	9.9975407811
1	2	9.9975199294	-1.1446364973E-05	1.4142135624	2	9.9975199294
0.5	8	9.9975177632	-1.05137662022E-05	1.4142135624	4	9.9975177632
0.5	10	9.9973989145	6.54978972519E-06	1.5811388301	5	9.9973989145
0.5	12	9.9972495691	1.68722458113E-05	1.7320508076	6	9.9972495691
2	1	9.997075222	7.3678978195E-06	2	2	9.997075222
1	4	9.9970653382	-7.7758474975E-05	2	4	9.9970653382
0.5	16	9.9970071052	1.29952864122E-06	2	8	9.9970071052
0.5	20	9.9968735327	-5.71108842717E-05	2.2360679775	10	9.9968735327
1	6	9.9965729325	-7.14854870305E-05	2.4494897428	6	9.9965729325
0.5	24	9.9965735888	-1.75423627884E-05	2.4494897428	12	9.9965735888
4	0.5	9.9963045626	-0.0001351043	2.8284271247	2	9.9963045626
2	2	9.9961509644	-3.53447903739E-05	2.8284271247	4	9.9961509644
1	8	9.996102247	-0.0001261728	2.8284271247	8	9.996102247
0.5	32	9.9962285165	-0.000125742	2.8284271247	16	9.9962285165
1	10	9.9956701877	-0.00012866	3.1622776602	10	9.9956701877
0.5	40	9.9956411184	-1.7647719666E-05	3.1622776602	20	9.9956411184
1	12	9.9950417481	6.20674183791E-05	3.4641016151	12	9.9950417481
0.5	48	9.9952492462	-0.0001546544	3.4641016151	24	9.9952492462
0.5	56	9.9946102874	-0.0001957059	3.7416573868	28	9.9946102874
4	1	9.9942744597	0.0002104642	4	4	9.9942744597
2	4	9.9943302815	-0.0002536451	4	8	9.9943302815
1	16	9.9939916438	7.53589018583E-05	4	16	9.9939916438
0.5	64	9.9943702025	-0.0002718598	4	32	9.9943702025
1	20	9.9931768043	9.68587421058E-05	4.472135955	20	9.9931768043
0.5	80	9.9932582478	0.0001347995	4.472135955	40	9.9932582478
2	6	9.9924335386	-0.000171974	4.8989794856	12	9.9924335386
1	24	9.9919089218	0.0004321365	4.8989794856	24	9.9919089218
0.5	96	9.9927108557	-0.0002563347	4.8989794856	48	9.9927108557
0.5	112	9.9914500289	-0.0002457809	5.2915026221	56	9.9914500289
8	0.5	9.9913424021	-0.0006524961	5.6568542495	4	9.9913424021
4	2	9.9900219326	5.95467968305E-05	5.6568542495	8	9.9900219326
2	8	9.9907046142	-0.0005915962	5.6568542495	16	9.9907046142
1	32	9.9898771885	0.0003825316	5.6568542495	32	9.9898771885
0.5	128	9.9904639461	0.0001665418	5.6568542495	64	9.9904639461
2	10	9.9879377579	0.000398065	6.3245553203	20	9.9879377579
1	40	9.9879743157	0.000417432	6.3245553203	40	9.9879743157
0.5	160	9.9897649623	-0.0003392999	6.3245553203	80	9.9897649623
2	12	9.9851938132	0.0010179456	6.9282032303	24	9.9851938132
1	48	9.9868618753	-0.0008092133	6.9282032303	48	9.9868618753
0.5	192	9.9877988638	-2.9432520549E-06	6.9282032303	96	9.9877988638
1	56	9.9849382687	-0.0005154168	7.4833147735	56	9.9849382687
0.5	224	9.9859169334	-0.0001075823	7.4833147735	112	9.9859169334
8	1	9.9830432438	0.0006486793	8	8	9.9830432438
