Angle	Frequency	ax	bx	cx

0.5	0.5	0.0191639174932	0	0
1	0.5	0.0348027625468	0	0
2	0.5	0.0710861075211	0	0
4	0.5	0.14879444056	0	0
8	0.5	0.313864382225	0	0
16	0.5	0.56296980516	0	0
24	0.5	0.860710646723	0	0
32	0.5	1.14577135988	0	0
40	0.5	1.38262358404	0	0
48	0.5	1.45423615289	0	0
56	0.5	1.72782171404	0	0
64	0.5	1.86727368858	0	0
72	0.5	2.001116039	0	0
80	0.5	2.27952258073	0	0
96	0.5	2.56047421852	0	0
112	0.5	2.56027094599	0	0
128	0.5	2.5799224084	0	0
144	0.5	2.40809582151	0	0
160	0.5	2.21347697023	0	0
180	0.5	1.98231206469	0	0

0.5	1	0.0271928375537	0	0
1	1	0.054980807421	0	0
2	1	0.105273663372	0	0
4	1	0.196562893363	0	0
8	1	0.395075797207	0	0
16	1	0.810710383293	0	0
24	1	1.23262788671	0	0
32	1	1.4775086227	0	0
40	1	1.74178578464	0	0
48	1	2.06451718682	0	0
56	1	2.2227188704	0	0
64	1	2.34075130674	0	0
72	1	2.56135268305	0	0
80	1	2.55223349989	0	0
96	1	2.58162516556	0	0
112	1	2.58004586312	0	0
128	1	2.41578128146	0	0
144	1	2.14476362003	0	0
160	1	1.96365643623	0	0
180	1	1.71180898815	0	0

0.5	2	0.0349601993999	0	0
1	2	0.0794922141832	0	0
2	2	0.138872013954	0	0
4	2	0.276967782071	0	0
8	2	0.548921086992	0	0
16	2	1.15038503014	0	0
24	2	1.61840940416	0	0
32	2	1.91597288572	0	0
40	2	2.18731584871	0	0
48	2	2.56573764144	0	0
56	2	2.61013631512	0	0
64	2	2.64780580109	0	0
72	2	2.58450091271	0	0
80	2	2.4609344489	0	0
96	2	2.20377108913	0	0
112	2	2.02514037006	0	0
128	2	1.65161709765	0	0
144	2	1.51201463177	0	0
160	2	1.34518846659	0	0
180	2	1.17470519074	0	0

0.5	4	0.049834099126	0	0
1	4	0.0989932155959	0	0
2	4	0.204259671691	0	0
4	4	0.41310066379	0	0
8	4	0.800727390339	0	0
16	4	1.48764104695	0	0
24	4	2.03064475393	0	0
32	4	2.31459437289	0	0
40	4	2.49766028032	0	0
48	4	2.55650876926	0	0
56	4	2.4437289243	0	0
64	4	2.35043650571	0	0
72	4	2.10676888646	0	0
80	4	1.95613108946	0	0
96	4	1.66890544628	0	0
112	4	1.33881882689	0	0
128	4	1.11792579985	0	0
144	4	0.979288316689	0	0
160	4	0.800446256241	0	0
180	4	0.633674189593	0	0

0.5	6	0.0610255390899	0	0
1	6	0.123912346774	0	0
2	6	0.25211184448	0	0
4	6	0.514235815764	0	0
8	6	1.00635608434	0	0
16	6	1.68684298792	0	0
24	6	2.22717621359	0	0
32	6	2.50217380487	0	0
40	6	2.61066055476	0	0
48	6	2.397923167	0	0
56	6	2.21996778944	0	0
64	6	2.00761011591	0	0
72	6	1.76521791973	0	0
80	6	1.65967049302	0	0
96	6	1.28913874107	0	0
112	6	0.979305386063	0	0
128	6	0.844091508657	0	0
144	6	0.696420175072	0	0
160	6	0.5671544617	0	0
180	6	0.500980713249	0	0

0.5	8	0.0732837880419	0	0
1	8	0.152089319142	0	0
2	8	0.288050127883	0	0
4	8	0.49301540223	0	0
8	8	1.085435737	0	0
16	8	2.083902517	0	0
24	8	2.48435669208	0	0
32	8	2.47212164199	0	0
40	8	2.39966744046	0	0
48	8	2.18708964242	0	0
56	8	1.8535659257	0	0
64	8	1.77964753968	0	0
72	8	1.50921651735	0	0
80	8	1.31461839287	0	0
96	8	1.03564600213	0	0
112	8	0.817961875508	0	0
128	8	0.651201748503	0	0
144	8	0.566742582768	0	0
160	8	0.453742743792	0	0
180	8	0.385977034517	0	0

0.5	10	0.0858512540382	0	0
1	10	0.155016808694	0	0
2	10	0.319306495402	0	0
4	10	0.643467427762	0	0
8	10	1.22650469865	0	0
16	10	1.97215521832	0	0
24	10	2.49370974756	0	0
32	10	2.49187488791	0	0
40	10	2.25029196009	0	0
48	10	2.01650877196	0	0
56	10	1.82145279163	0	0
64	10	1.509823228	0	0
72	10	1.35190913618	0	0
80	10	1.19231499896	0	0
96	10	0.925166255318	0	0
112	10	0.733620010051	0	0
128	10	0.571735319874	0	0
144	10	0.466829032664	0	0
160	10	0.405834020363	0	0
180	10	0.329017625191	0	0

0.5	12	0.0813924474821	0	0
1	12	0.189402874041	0	0
2	12	0.317412582084	0	0
4	12	0.648094599245	0	0
8	12	1.32639689685	0	0
16	12	2.04344922402	0	0
24	12	2.4928739693	0	0
32	12	2.51250206736	0	0
40	12	2.13955667311	0	0
48	12	1.91925625626	0	0
56	12	1.62435884661	0	0
64	12	1.46549765687	0	0
72	12	1.18745500314	0	0
80	12	1.0587016102	0	0
96	12	0.770173400144	0	0
112	12	0.617766616426	0	0
128	12	0.504698712658	0	0
144	12	0.386641044855	0	0
160	12	0.348792907181	0	0
180	12	0.25378168786	0	0

0.5	16	0.10233526049	0	0
1	16	0.197492512727	0	0
2	16	0.416466210499	0	0
4	16	0.775756583933	0	0
8	16	1.55734563732	0	0
16	16	2.26024982527	0	0
24	16	2.49794498328	0	0
32	16	2.23219677131	0	0
40	16	1.94457965969	0	0
48	16	1.57893340364	0	0
56	16	1.38584162003	0	0
64	16	1.16777561316	0	0
72	16	0.963618442001	0	0
80	16	0.854862510861	0	0
96	16	0.63812597765	0	0
112	16	0.44882184175	0	0
128	16	0.378463272954	0	0
144	16	0.327113838458	0	0
160	16	0.263632521928	0	0
180	16	0.202096523432	0	0

0.5	20	0.119424186919	0	0
1	20	0.232071706589	0	0
2	20	0.464522356129	0	0
4	20	0.829916957775	0	0
8	20	1.55106639182	0	0
16	20	2.4186537871	0	0
24	20	2.41919314594	0	0
32	20	2.14422591552	0	0
40	20	1.8084481793	0	0
48	20	1.45354623145	0	0
56	20	1.21091192432	0	0
64	20	1.04463951275	0	0
72	20	0.849245689302	0	0
80	20	0.760594788837	0	0
96	20	0.523760378377	0	0
112	20	0.404362569339	0	0
128	20	0.319474742744	0	0
144	20	0.250604058291	0	0
160	20	0.205879321808	0	0
180	20	0.162816821621	0	0

0.5	24	0.126338117938	0	0
1	24	0.244644528279	0	0
2	24	0.495829597349	0	0
4	24	0.932947758334	0	0
8	24	1.77259244594	0	0
16	24	2.51869252636	0	0
24	24	2.3353959892	0	0
32	24	2.04145566887	0	0
40	24	1.55297981786	0	0
48	24	1.36340021708	0	0
56	24	1.02696143487	0	0
64	24	0.917488256553	0	0
72	24	0.721711335594	0	0
80	24	0.651092661692	0	0
96	24	0.445943383646	0	0
112	24	0.37919317022	0	0
128	24	0.278849473203	0	0
144	24	0.208194928118	0	0
160	24	0.184148652092	0	0
180	24	0.138490089683	0	0

0.5	32	0.154840063087	0	0
1	32	0.290532957281	0	0
2	32	0.510821807848	0	0
4	32	1.03634076742	0	0
8	32	1.94740098963	0	0
16	32	2.53728235479	0	0
24	32	2.2530917528	0	0
32	32	1.77290300509	0	0
40	32	1.43193998391	0	0
48	32	1.16692980377	0	0
56	32	0.840849398167	0	0
64	32	0.732955065991	0	0
72	32	0.585225418014	0	0
80	32	0.483758011776	0	0
96	32	0.348151651627	0	0
112	32	0.268847119469	0	0
128	32	0.228977477764	0	0
144	32	0.179299975571	0	0
160	32	0.143383499364	0	0
180	32	0.113007194781	0	0

0.5	40	0.164434025411	0	0
1	40	0.32002600922	0	0
2	40	0.66395079546	0	0
4	40	1.2165943378	0	0
8	40	2.17132284741	0	0
16	40	2.42396331794	0	0
24	40	2.05072745133	0	0
32	40	1.59541295402	0	0
40	40	1.24346679243	0	0
48	40	0.909356142593	0	0
56	40	0.751751310884	0	0
64	40	0.593237836382	0	0
72	40	0.50395735458	0	0
80	40	0.455717992234	0	0
96	40	0.31157318868	0	0
112	40	0.229316002039	0	0
128	40	0.175594809065	0	0
144	40	0.135399217115	0	0
160	40	0.120121503159	0	0
