Angle	Frequency	AF	ARF	ax	bx	cx
0.5	0.5	0.25	0.353553390593	0.0191639174932	0	0
0.5	1.0	0.5	0.5	0.0271928375537	0	0
1.0	0.5	0.5	0.707106781187	0.0348027625468	0	0
0.5	2.0	1.0	0.707106781187	0.0349601993999	0	0
1.0	1.0	1.0	1.0	0.054980807421	0	0
0.5	4.0	2.0	1.0	0.049834099126	0	0
0.5	6.0	3.0	1.22474487139	0.0610255390899	0	0
0.5	8.0	4.0	1.41421356237	0.0732837880419	0	0
1.0	2.0	2.0	1.41421356237	0.0794922141832	0	0
2.0	0.5	1.0	1.41421356237	0.0710861075211	0	0
0.5	10.0	5.0	1.58113883008	0.0858512540382	0	0
0.5	12.0	6.0	1.73205080757	0.0813924474821	0	0
0.5	16.0	8.0	2.0	0.10233526049	0	0
1.0	4.0	4.0	2.0	0.0989932155959	0	0
2.0	1.0	2.0	2.0	0.105273663372	0	0
0.5	20.0	10.0	2.2360679775	0.119424186919	0	0
0.5	24.0	12.0	2.44948974278	0.126338117938	0	0
1.0	6.0	6.0	2.44948974278	0.123912346774	0	0
1.0	8.0	8.0	2.82842712475	0.152089319142	0	0
2.0	2.0	4.0	2.82842712475	0.138872013954	0	0
4.0	0.5	2.0	2.82842712475	0.14879444056	0	0
0.5	32.0	16.0	2.82842712475	0.154840063087	0	0
1.0	10.0	10.0	3.16227766017	0.155016808694	0	0
0.5	40.0	20.0	3.16227766017	0.164434025411	0	0
1.0	12.0	12.0	3.46410161514	0.189402874041	0	0
0.5	48.0	24.0	3.46410161514	0.18562189513	0	0
0.5	56.0	28.0	3.74165738677	0.202483616616	0	0
1.0	16.0	16.0	4.0	0.197492512727	0	0
0.5	64.0	32.0	4.0	0.205263382308	0	0
4.0	1.0	4.0	4.0	0.196562893363	0	0
2.0	4.0	8.0	4.0	0.204259671691	0	0
1.0	20.0	20.0	4.472135955	0.232071706589	0	0
0.5	80.0	40.0	4.472135955	0.217205424293	0	0
1.0	24.0	24.0	4.89897948557	0.244644528279	0	0
2.0	6.0	12.0	4.89897948557	0.25211184448	0	0
0.5	96.0	48.0	4.89897948557	0.241410075358	0	0
0.5	112.0	56.0	5.29150262213	0.260818282499	0	0
1.0	32.0	32.0	5.65685424949	0.290532957281	0	0
0.5	128.0	64.0	5.65685424949	0.292299439732	0	0
4.0	2.0	8.0	5.65685424949	0.276967782071	0	0
8.0	0.5	4.0	5.65685424949	0.313864382225	0	0
2.0	8.0	16.0	5.65685424949	0.288050127883	0	0
2.0	10.0	20.0	6.32455532034	0.319306495402	0	0
1.0	40.0	40.0	6.32455532034	0.32002600922	0	0
0.5	160.0	80.0	6.32455532034	0.287831663472	0	0
1.0	48.0	48.0	6.92820323028	0.363967894301	0	0
0.5	192.0	96.0	6.92820323028	0.304946846219	0	0
2.0	12.0	24.0	6.92820323028	0.317412582084	0	0
0.5	224.0	112.0	7.48331477355	0.353547754657	0	0
1.0	56.0	56.0	7.48331477355	0.363820721687	0	0
4.0	4.0	16.0	8.0	0.41310066379	0	0
0.5	256.0	128.0	8.0	0.425778300114	0	0
1.0	64.0	64.0	8.0	0.406351174836	0	0
