"Angle"	"Frequency"	"AF"	"ARF"	"ax"	"bx"	"cx"
0.5	0.5	0.25	0.3535533906	0.0191245157	0	0
0.5	1	0.5	0.5	0.0255101114	0	0
1	0.5	0.5	0.7071067812	0.0357595842	0	0
0.5	2	1	0.7071067812	0.0388356619	0	0
1	1	1	1	0.0533453353	0	0
0.5	4	2	1	0.0492994419	0	0
2	0.5	1	1.4142135624	0.0738776828	0	0
1	2	2	1.4142135624	0.077464651	0	0
0.5	8	4	1.4142135624	0.0745084363	0	0
2	1	2	2	0.1041313565	0	0
1	4	4	2	0.0929726647	0	0
0.5	16	8	2	0.0996570705	0	0
4	0.5	2	2.8284271247	0.1465039938	0	0
2	2	4	2.8284271247	0.1463302091	0	0
1	8	8	2.8284271247	0.1329514597	0	0
0.5	32	16	2.8284271247	0.1463546063	0	0
4	1	4	4	0.2054267743	0	0
2	4	8	4	0.2004494229	0	0
1	16	16	4	0.1943803657	0	0
0.5	64	32	4	0.197225633	0	0
0.5	96	48	4.8989794856	0.2380380615	0	0
4	2	8	5.6568542495	0.3119060667	0	0
2	8	16	5.6568542495	0.2641765853	0	0
1	32	32	5.6568542495	0.2983665608	0	0
0.5	128	64	5.6568542495	0.2994839583	0	0
4	4	16	8	0.4094677144	0	0
2	16	32	8	0.4155512224	0	0
1	64	64	8	0.3706531441	0	0
0.5	256	128	8	0.3901743182	0	0
1	96	96	9.7979589711	0.4912744612	0	0
16	0.5	8	11.313708499	0.6120574245	0	0
4	8	32	11.313708499	0.4978024871	0	0
2	32	64	11.313708499	0.526644651	0	0
1	128	128	11.313708499	0.5873189696	0	0
0.5	512	256	11.313708499	0.6182119934	0	0
16	1	16	16	0.8614573895	0	0
4	16	64	16	0.8171196206	0	0
2	64	128	16	0.759926004	0	0
1	256	256	16	0.6800984445	0	0
0.5	1024	512	16	0.8204917579	0	0
2	96	192	19.5959179423	0.9136918224	0	0
32	0.5	16	22.627416998	1.1663593071	0	0
16	2	32	22.627416998	1.2271772634	0	0
4	32	128	22.627416998	1.0580529942	0	0
2	128	256	22.627416998	1.1244004581	0	0
1	512	512	22.627416998	1.1793824741	0	0
0.5	2048	1024	22.627416998	1.0881732729	0	0
32	1	32	32	1.4637735759	0	0
16	4	64	32	1.5300654504	0	0
4	64	256	32	1.7518634333	0	0
