Frequency	Angle	Speed	RealArea	Stdev

0.5	0.5	1.0	0.0173908397368	0.0081523618053
1	0.5	1.0	0.0250915931186	0.0127440106864
2	0.5	1.0	0.0330581406546	0.0172202621951
4	0.5	1.0	0.0532508773878	0.0295296477549
6	0.5	1.0	0.0658964353728	0.0337894525065
8	0.5	1.0	0.0770409388065	0.037081849771
10	0.5	1.0	0.0774311947502	0.037084831414
12	0.5	1.0	0.0867166041519	0.0488024701458
16	0.5	1.0	0.104699756002	0.0563163609073
20	0.5	1.0	0.115262703157	0.0543910696275
24	0.5	1.0	0.126476603345	0.0659694325007
32	0.5	1.0	0.15040885538	0.07420400114
40	0.5	1.0	0.163459533503	0.0856457006731
48	0.5	1.0	0.183296474453	0.105665171879
56	0.5	1.0	0.192575725819	0.105932902255
64	0.5	1.0	0.201939410936	0.107349112477
80	0.5	1.0	0.206625226058	0.108687183013
96	0.5	1.0	0.233009556481	0.124256603967
112	0.5	1.0	0.2615113408	0.142012773434
128	0.5	1.0	0.289815043765	0.146576205492
160	0.5	1.0	0.297311124866	0.151175957388
192	0.5	1.0	0.314217857666	0.166054346184
224	0.5	1.0	0.356424328753	0.176597812316
256	0.5	1.0	0.395755572718	0.201631458401
320	0.5	1.0	0.371531037807	0.202816478001
384	0.5	1.0	0.453798433719	0.230694797743
512	0.5	1.0	0.54768539084	0.27473993116
1024	0.5	1.0	0.808760851756	0.424198781041
2048	0.5	1.0	1.10859897089	0.524159137642
4096	0.5	1.0	1.47959619534	0.672386002707

0.5	1	1.0	0.0339474335531	0.0166687686426
1	1	1.0	0.0485991197135	0.0231301286814
2	1	1.0	0.0745604657367	0.0367117027343
4	1	1.0	0.0978193438367	0.0499894818078
6	1	1.0	0.133278100963	0.0716966597621
8	1	1.0	0.155712314014	0.0835560334374
10	1	1.0	0.154329182478	0.074941948783
12	1	1.0	0.177255800785	0.0861012813705
16	1	1.0	0.201245009577	0.111392030986
20	1	1.0	0.229516174845	0.114141785314
24	1	1.0	0.256912607718	0.131552285916
32	1	1.0	0.266461785334	0.139027183062
40	1	1.0	0.317381561301	0.158602484073
48	1	1.0	0.35396083221	0.196059079165
56	1	1.0	0.377112877401	0.211659145679
64	1	1.0	0.409484427415	0.197137090416
80	1	1.0	0.462939330958	0.254667938614
96	1	1.0	0.467530304597	0.238588032319
112	1	1.0	0.546124430348	0.281448099568
128	1	1.0	0.557091967018	0.279911797465
160	1	1.0	0.589518389323	0.327025863116
192	1	1.0	0.608452950625	0.33286801853
224	1	1.0	0.690997739205	0.355433310306
256	1	1.0	0.801074795961	0.396857272203
320	1	1.0	0.754998237278	0.39387555352
384	1	1.0	0.919147160319	0.479974127015
512	1	1.0	1.10654307352	0.53655473289
1024	1	1.0	1.44747050086	0.667707227601
2048	1	1.0	1.9071505839	0.74969033111
4096	1	1.0	2.37851398769	0.790739845113

0.5	2	1.0	0.0713864028457	0.034833332942
1	2	1.0	0.0976880537693	0.0432877896168
2	2	1.0	0.142944205907	0.069273918271
4	2	1.0	0.21616910332	0.116587386736
6	2	1.0	0.233597097363	0.119172952991
8	2	1.0	0.278035781262	0.144462138242
10	2	1.0	0.331924154512	0.166250705781
12	2	1.0	0.322806301457	0.158378241191
16	2	1.0	0.382757891514	0.176284439051
20	2	1.0	0.437766231641	0.232904936985
24	2	1.0	0.525542882269	0.273410673875
32	2	1.0	0.58776213353	0.296085084497
40	2	1.0	0.630704419997	0.340360838069
48	2	1.0	0.694833871022	0.354054400668
56	2	1.0	0.801731132992	0.400944087419
64	2	1.0	0.765984198529	0.408047076235
80	2	1.0	0.814639292023	0.358525692421
96	2	1.0	0.929305973476	0.471880308237
112	2	1.0	1.06062076614	0.530154572578
128	2	1.0	1.08478187465	0.516369421007
160	2	1.0	1.07921998348	0.511380949357
192	2	1.0	1.28430795352	0.567201770994
224	2	1.0	1.32084798761	0.643535962333
256	2	1.0	1.46986719096	0.662008197594
320	2	1.0	1.49539770004	0.691476861117
384	2	1.0	1.74051286421	0.685866396867
512	2	1.0	1.9238575205	0.823023722378
1024	2	1.0	2.3577495154	0.759735312773
2048	2	1.0	2.53882993094	0.625148010533
4096	2	1.0	2.27358238216	0.515731022815

0.5	4	1.0	0.139644771417	0.0644659525772
1	4	1.0	0.195846578302	0.0911782982858
2	4	1.0	0.303051055624	0.145721285886
4	4	1.0	0.392514034612	0.19577799732
6	4	1.0	0.494462805882	0.245095653564
8	4	1.0	0.548392679362	0.281653268768
10	4	1.0	0.623206118996	0.30742557182
12	4	1.0	0.709535868774	0.3421632721
16	4	1.0	0.812492077498	0.420545388437
20	4	1.0	0.8965945641	0.461214211115
24	4	1.0	0.934896248168	0.486011140896
32	4	1.0	1.13076815906	0.546416716431
40	4	1.0	1.17065207329	0.511399134215
48	4	1.0	1.32932720269	0.613071397076
56	4	1.0	1.41177470121	0.627342467226
64	4	1.0	1.47402307704	0.691423209138
80	4	1.0	1.57487437782	0.714162683068
96	4	1.0	1.64440188107	0.754597418042
112	4	1.0	1.91764059684	0.83348266742
128	4	1.0	1.95803928769	0.780229400626
160	4	1.0	2.02184145498	0.786175211202
192	4	1.0	2.15739463089	0.798892215735
224	4	1.0	2.14732843102	0.820003210535
256	4	1.0	2.30743006817	0.72563436273
320	4	1.0	2.3601662011	0.775738760394
384	4	1.0	2.45809613556	0.775690018141
512	4	1.0	2.48515268999	0.619183037442
1024	4	1.0	2.25662598041	0.561543306317
2048	4	1.0	1.7955651577	0.514993088298
4096	4	1.0	1.27018959798	0.41527842505

0.5	8	1.0	0.294950300623	0.130091572872
1	8	1.0	0.394138725367	0.190653407474
2	8	1.0	0.579358319781	0.287374829662
4	8	1.0	0.766620744999	0.386610135491
6	8	1.0	0.99752864815	0.55920497287
8	8	1.0	1.19475701338	0.608215649986
10	8	1.0	1.20778073792	0.624157872578
12	8	1.0	1.34451865856	0.585689086412
16	8	1.0	1.4583412606	0.692904392473
20	8	1.0	1.72483532912	0.704802998535
24	8	1.0	1.71133553376	0.753920474749
32	8	1.0	1.94552947986	0.813002581808
40	8	1.0	2.0636892959	0.805257603096
48	8	1.0	2.20306403689	0.752651302756
56	8	1.0	2.30843766864	0.792700743307
64	8	1.0	2.40931579942	0.7876995159
80	8	1.0	2.41910570338	0.702338507317
96	8	1.0	2.42988635664	0.684010315255
112	8	1.0	2.44247871669	0.582289525597
128	8	1.0	2.50064112928	0.612911685711
160	8	1.0	2.45590956753	0.572149434243
192	8	1.0	2.41470185253	0.551954657992
224	8	1.0	2.44696262704	0.504959830794
256	8	1.0	2.31988646593	0.537949138723
320	8	1.0	2.28620897462	0.542838432712
384	8	1.0	2.10684085455	0.526114066557
512	8	1.0	1.81491834873	0.528214470533
1024	8	1.0	1.18626220427	0.410597374831
2048	8	1.0	0.75992370268	0.287197492364
4096	8	1.0	0.457778021602	0.152435402575

0.5	16	1.0	0.579639530295	0.23970112019
1	16	1.0	0.805161292547	0.36782070385
2	16	1.0	1.12403797204	0.483463740276
4	16	1.0	1.5563484521	0.713503814726
6	16	1.0	1.72774609179	0.72515908054
8	16	1.0	2.04392919535	0.807397723575
10	16	1.0	2.04170685385	0.841349118502
12	16	1.0	2.25074463793	0.815408603244
16	16	1.0	2.31587338922	0.773839290196
20	16	1.0	2.38949701709	0.749908497023
24	16	1.0	2.55368663117	0.621729625402
32	16	1.0	2.47055423301	0.593772152906
40	16	1.0	2.46962002998	0.585627971147
48	16	1.0	2.4376092782	0.546021512884
56	16	1.0	2.40401253443	0.558417765525
64	16	1.0	2.22748882873	0.535372616414
80	16	1.0	2.14996774028	0.484862701586
96	16	1.0	2.06755847482	0.503720477135
112	16	1.0	1.80114316308	0.522353838275
128	16	1.0	1.76514484173	0.494740333134
160	16	1.0	1.66769888965	0.479508323791
192	16	1.0	1.51607473684	0.47003806516
224	16	1.0	1.38575226532	0.442374108061
256	16	1.0	1.17307698755	0.399930408801
320	16	1.0	1.17510604046	0.389456973494
384	16	1.0	0.99036359081	0.328125906414
512	16	1.0	0.785688845053	0.273990537378
1024	16	1.0	0.419206234014	0.146008219937
2048	16	1.0	0.243771605636	0.0966322412005
4096	16	1.0	0.127771449425	0.0489445963578

0.5	24	1.0	0.864405685793	0.387061656691
1	24	1.0	1.18060965933	0.527704864992
2	24	1.0	1.63495278706	0.656642790544
4	24	1.0	2.0151624237	0.784564308448
6	24	1.0	2.27141282174	0.797656350541
8	24	1.0	2.39073913049	0.705631619612
10	24	1.0	2.53787795173	0.638627534902
12	24	1.0	2.6113408483	0.621725635053
16	24	1.0	2.53310518731	0.598540849861
20	24	1.0	2.40292236188	0.551674196077
24	24	1.0	2.37174301818	0.484118862894
32	24	1.0	2.22097061053	0.567687643217
40	24	1.0	2.07841413422	0.482755798713
48	24	1.0	1.92890299944	0.517258438556
56	24	1.0	1.70260679675	0.511587476282
64	24	1.0	1.68152450355	0.458927597948
80	24	1.0	1.51535550953	0.501429676367
96	24	1.0	1.29597026736	0.423809188051
112	24	1.0	1.20966753679	0.402292094358
128	24	1.0	1.15994102077	0.388134619571
160	24	1.0	0.992018418519	0.349589437046
192	24	1.0	0.933446962885	0.31628065837
224	24	1.0	0.827932047609	0.305144248879
256	24	1.0	0.663680859266	0.234907904637
320	24	1.0	0.682852601823	0.257182701882
384	24	1.0	0.544826363868	0.196088656789
512	24	1.0	0.382914513794	0.138419892076
1024	24	1.0	0.216520215033	0.0852501307369
2048	24	1.0	0.117082681691	0.0420471532094
4096	24	1.0	0.056441368768	0.0206461531648

0.5	32	1.0	1.17105544977	0.50189736038
1	32	1.0	1.50039760278	0.641108613436
2	32	1.0	2.01333004459	0.757833168427
4	32	1.0	2.34367582372	0.762058250761
6	32	1.0	2.48219041939	0.66216327728
8	32	1.0	2.46574703755	0.639031564905
10	32	1.0	2.50315909309	0.575143324997
12	32	1.0	2.39397465083	0.531616128284
16	32	1.0	2.34211872621	0.527483557414
20	32	1.0	2.13656784405	0.53356992494
24	32	1.0	1.97860558519	0.536070439027
32	32	1.0	1.77808897121	0.533602448117
40	32	1.0	1.56849156305	0.449995451658
48	32	1.0	1.43083824199	0.443241715371
56	32	1.0	1.30269591736	0.443294501807
64	32	1.0	1.21145520794	0.387339713704
80	32	1.0	1.00049462229	0.322653473913
96	32	1.0	0.923379485885	0.308132010208
112	32	1.0	0.777228137832	0.309675329817
128	32	1.0	0.738802482782	0.251356666375
160	32	1.0	0.665214111297	0.243676188851
192	32	1.0	0.614298512592	0.208068311452
224	32	1.0	0.486951384286	0.171228785277
256	32	1.0	0.433245957088	0.155167105522
320	32	1.0	0.420281453699	0.152891037186
384	32	1.0	0.336004940555	0.127510830656
512	32	1.0	0.22858459731	0.0747216979419
1024	32	1.0	0.124552881364	0.0490536365476
2048	32	1.0	0.0662683942663	0.0243240423868
4096	32	1.0	0.0323886844893	0.0120359522503

0.5	40	1.0	1.28278580408	0.577708722005
1	40	1.0	1.8302047701	0.753261872308
2	40	1.0	2.27426326657	0.798025633498
4	40	1.0	2.57531052417	0.641203503263
6	40	1.0	2.43876146112	0.611596050607
8	40	1.0	2.433495807	0.537544256918
10	40	1.0	2.28003314764	0.544905627696
12	40	1.0	2.15148895937	0.539353699258
16	40	1.0	2.03108685994	0.529469968846
20	40	1.0	1.74531428348	0.505073867681
24	40	1.0	1.66806813663	0.491565948889
32	40	1.0	1.35681184675	0.413689975703
40	40	1.0	1.25010783504	0.392837509495
48	40	1.0	1.05276756899	0.388267639228
56	40	1.0	0.96474407087	0.32087339122
64	40	1.0	0.882039806107	0.323633110772
80	40	1.0	0.734989354222	0.269914037807
96	40	1.0	0.686932317382	0.252622613457
112	40	1.0	0.5516011149	0.187223735943
128	40	1.0	0.520979339329	0.186006008253
160	40	1.0	0.46773746351	0.20034029604
192	40	1.0	0.419639001272	0.15383798996
224	40	1.0	0.337406949398	0.12485280744
256	40	1.0	0.285162870211	0.105440824104
320	40	1.0	0.291301118922	0.105298564609
384	40	1.0	0.22525838455	0.0856593248007
512	40	1.0	0.155284154811	0.0595108618101
1024	40	1.0	0.0848113127734	0.0280788130801
2048	40	1.0	0.0426724071912	0.014937925691
4096	40	1.0	0.0220974159025	0.00846913952186

0.5	48	1.0	1.63640444238	0.678325006316
1	48	1.0	2.05851724106	0.755574840888
2	48	1.0	2.52799819672	0.729389198028
4	48	1.0	2.60525045302	0.563607032576
6	48	1.0	2.36450159323	0.536618510793
8	48	1.0	2.26930013212	0.47276134448
10	48	1.0	1.97897654915	0.521061639849
12	48	1.0	1.92783709287	0.554222829541
16	48	1.0	1.66001455633	0.506071493385
20	48	1.0	1.43508457186	0.448459253654
24	48	1.0	1.35141857841	0.405080088368
32	48	1.0	1.15005034245	0.367455839635
40	48	1.0	0.981112357479	0.34220150258
48	48	1.0	0.822822651382	0.293968866545
56	48	1.0	0.747375077672	0.262271395419
64	48	1.0	0.661761194054	0.254532289041
80	48	1.0	0.53643766557	0.191266263104
96	48	1.0	0.476488590016	0.183371205664
112	48	1.0	0.411113285798	0.147200174513
128	48	1.0	0.398656610543	0.158997973256
160	48	1.0	0.366894960458	0.149653765048
192	48	1.0	0.294490800393	0.10741050788
224	48	1.0	0.24656848777	0.0914236296913
256	48	1.0	0.219375967523	0.0766015636001
320	48	1.0	0.212267858338	0.0786032876781
384	48	1.0	0.158863083117	0.0620538934443
512	48	1.0	0.109897235109	0.039311544861
1024	48	1.0	0.0590607242744	0.0209286852462
2048	48	1.0	0.030149649702	0.0105657904666
4096	48	1.0	0.0164441448135	0.00571163717969

0.5	56	1.0	1.82498140513	0.677167888658
1	56	1.0	2.30713031311	0.738602162562
2	56	1.0	2.60983137366	0.650816141295
